clip,group,severity,session,f0_hz,primary_axis,d_machine_x.r1,d_machine_x.r2,d_machine_x.r3,d_machine_x.r05,d_machine_x.rbp,d_machine_x.E_sub,d_machine_x.E_1x,d_machine_x.E_mid,d_machine_x.E_hi,d_machine_x.harm,d_machine_x.centroid,d_machine_x.crest,d_machine_x.kurt,d_machine_y.r1,d_machine_y.r2,d_machine_y.r3,d_machine_y.r05,d_machine_y.rbp,d_machine_y.E_sub,d_machine_y.E_1x,d_machine_y.E_mid,d_machine_y.E_hi,d_machine_y.harm,d_machine_y.centroid,d_machine_y.crest,d_machine_y.kurt,d_base_y.r1,d_base_y.r2,d_base_y.r3,d_base_y.r05,d_base_y.rbp,d_base_y.E_sub,d_base_y.E_1x,d_base_y.E_mid,d_base_y.E_hi,d_base_y.harm,d_base_y.centroid,d_base_y.crest,d_base_y.kurt
IMG_8436,3g,2,S5,18.12,d_machine_x,1.02550198,0.04927596,0.07481908,0.00615619,0.0,0.00180681,0.98587241,0.0098433,0.00247701,0.12100907,1.02238285,2.73885346,2.68398536,1.0144298,0.05922603,0.12543556,0.00714509,0.0,0.00181748,0.97141799,0.02368244,0.00308178,0.18203487,1.05177066,2.0179184,1.67643235,0.6055108,0.06362899,0.26854533,0.11434494,0.0,0.30599961,0.41758306,0.20197586,0.07433544,0.5485853,1.42108581,2.48765712,2.06370116
IMG_8437,3g,2,S5,18.12,d_machine_x,1.10621396,0.03662562,0.0360646,0.01708246,0.0,0.00319028,0.99080926,0.00411955,0.0018809,0.06571081,1.00929731,1.89247212,1.57116239,1.11131385,0.06219379,0.08900302,0.01372995,0.0,0.00279272,0.97877609,0.01639426,0.00203682,0.1360523,1.03284638,2.47544539,2.30613868,0.65388967,0.04087642,0.18776144,0.13356585,0.0,0.42594443,0.36084281,0.16045486,0.05274992,0.34965817,1.15622,2.3552526,2.0076269
IMG_8438,3g,2,S5,18.12,d_machine_x,1.10745885,0.03665052,0.0466559,0.01646381,0.0,0.00428367,0.98667082,0.00467922,0.00436566,0.07522304,1.01967101,2.30630893,2.30898345,1.09872387,0.05941478,0.14857727,0.01865608,0.0,0.0019005,0.97124597,0.02357556,0.00327703,0.1893033,1.05377522,2.61683014,1.76900281,0.70853554,0.04698814,0.22145559,0.11360486,0.0,0.26876171,0.49723024,0.16066712,0.07324682,0.37887123,1.32910689,2.59062865,2.13181128
IMG_8439,3g,2,S5,18.12,d_machine_x,1.08577459,0.05285022,0.05890642,0.00564237,0.0,0.00226989,0.98588028,0.00781486,0.00403495,0.10292803,1.02742289,2.35978723,2.54779382,1.05378265,0.05423617,0.12486855,0.00849748,0.0,0.00212218,0.97121595,0.02326557,0.00339627,0.16996363,1.05747444,2.37310971,2.22929299,0.64869924,0.04194809,0.20199501,0.11678504,0.0,0.33273333,0.4342975,0.17472217,0.05824519,0.37604961,1.249512,2.6190732,2.16642192
IMG_8440,3g,2,S5,18.0,d_machine_x,0.97557944,0.03597705,0.07746083,0.00999112,0.0,0.00467001,0.98287664,0.00837023,0.00408311,0.11627745,1.02970094,2.31124806,2.25068983,0.97283908,0.09744858,0.11298937,0.01782732,0.0,0.00251931,0.97246292,0.02211491,0.00290253,0.21631322,1.04907411,2.22373937,2.15842332,0.5788364,0.05270948,0.19121583,0.13783262,0.0,0.30537954,0.43529901,0.17981829,0.07926478,0.4214063,1.34806894,2.33456504,2.15939207
IMG_8441,3g,2,S5,18.12,d_machine_x,1.04146907,0.02915034,0.06180751,0.0129239,0.0,0.00525613,0.98492247,0.00589094,0.00393033,0.0873361,1.01911711,2.39584568,2.25649597,1.04450549,0.07192533,0.13871949,0.01939152,0.0,0.00221834,0.97045929,0.02383656,0.00348581,0.20166943,1.05198457,2.77463982,2.53214936,0.6266208,0.05597646,0.1751937,0.19088367,0.0,0.36174728,0.39373063,0.17674255,0.06776286,0.36891555,1.24320472,2.17425569,1.87393354
IMG_8442,3g,2,S5,18.12,d_machine_x,0.98128945,0.05937676,0.05730412,0.00936432,0.0,0.00460089,0.98350306,0.00705898,0.00483703,0.11890567,1.02832036,2.13926746,2.1304748,0.9743743,0.07476663,0.13869693,0.0093245,0.0,0.00174452,0.97066838,0.02406467,0.00352209,0.21907759,1.05979528,2.5476518,2.34805194,0.62019847,0.05356851,0.23639673,0.12970224,0.0,0.31277352,0.44805049,0.17393243,0.06524023,0.46753622,1.30291052,2.23060507,1.88694996
IMG_8443,3g,2,S5,18.12,d_machine_x,1.07740192,0.02739232,0.09673565,0.01580709,0.0,0.00919388,0.97727658,0.00997223,0.00355714,0.11521046,1.02255627,2.41281126,2.36283561,1.08330571,0.09110326,0.11867442,0.02035011,0.0,0.00222039,0.972469,0.02256063,0.00274996,0.19364588,1.04265235,2.34004107,2.12991042,0.67380997,0.06198961,0.18012651,0.21874864,0.0,0.3727729,0.43803875,0.1286152,0.06048196,0.35932403,1.17665262,2.3782065,2.09462454
IMG_8390,normal,0,S1,18.96,d_machine_x,0.38298337,0.04646662,0.05106238,0.08893608,0.0,0.77358284,0.14953141,0.05504282,0.02181846,0.25465596,0.54684321,4.16075735,3.26971046,0.12064136,0.06188974,0.36106647,0.11543778,0.0,0.53182114,0.06540997,0.32484706,0.07739314,3.50589734,1.44454186,2.14594116,1.82976034,0.10041951,0.04863355,0.3194361,0.15804638,0.0,0.59553792,0.06436156,0.26099566,0.07871064,3.66531994,1.31828608,2.41256796,1.99818836
IMG_8391,normal,0,S1,18.84,d_machine_x,0.45930739,0.0381148,0.03361289,0.07800541,0.0,0.67025797,0.21039889,0.07219935,0.04714295,0.1561649,0.75889096,5.3220078,3.40082688,0.06691994,0.05961084,0.29238845,0.11029061,0.0,0.62979581,0.05074168,0.24482637,0.07463572,5.26000631,1.21699489,2.1707775,1.88850488,0.09717185,0.04624478,0.25404566,0.17699487,0.0,0.62744767,0.07409725,0.22519427,0.07324606,3.09030275,1.19984156,2.21468383,1.92630903
IMG_8392,normal,0,S1,18.84,d_machine_x,0.24233582,0.01682053,0.01673644,0.06405468,0.0,0.89702936,0.06448572,0.02594787,0.01250008,0.13847298,0.35603145,5.45177201,3.73910312,0.12208759,0.06268806,0.32533042,0.13642309,0.0,0.62760519,0.05673741,0.23572819,0.07989123,3.17819748,1.20986409,2.32320422,1.87845128,0.11280785,0.06306255,0.29150107,0.14530887,0.0,0.61526409,0.07650198,0.2306803,0.07755298,3.14307585,1.22206305,2.4361694,1.94644459
IMG_8393,normal,0,S1,18.96,d_machine_x,0.37264786,0.03158129,0.02623722,0.08733462,0.0,0.7701979,0.15070831,0.05457464,0.02451319,0.15515589,0.55151465,4.00832666,3.36345141,0.15110967,0.04846096,0.33011765,0.11665931,0.0,0.5995709,0.08172567,0.25287217,0.0656624,2.5053235,1.20995903,2.18797794,1.92764376,0.08417971,0.04596896,0.33187649,0.11338017,0.0,0.58582077,0.08959014,0.25943481,0.06514982,4.48855711,1.23874813,2.54901726,2.11577222
IMG_8394,normal,0,S1,19.08,d_machine_x,0.50025949,0.04788329,0.06090942,0.08404897,0.0,0.62150503,0.26911113,0.07729337,0.03206676,0.21747256,0.74552209,7.17784117,6.25371764,0.2271129,0.05161751,0.2900712,0.12070609,0.0,0.57765976,0.11788866,0.22929111,0.07515982,1.50448836,1.22682251,1.92222849,1.8441033,0.18557647,0.05107855,0.24975156,0.14917651,0.0,0.60888839,0.10370133,0.2204849,0.06690026,1.62105744,1.14464113,2.08807724,1.90904336
IMG_8395,normal,0,S1,19.08,d_machine_x,0.4920561,0.03885377,0.04882315,0.09601588,0.0,0.68924328,0.23141988,0.05262744,0.02669127,0.17818479,0.62339221,3.99495291,3.38246935,0.20946092,0.04690359,0.33697224,0.13888346,0.0,0.58022555,0.09150034,0.24827636,0.07999554,1.83268477,1.27713846,2.05873091,1.9099125,0.09302313,0.05282027,0.29313357,0.13766773,0.0,0.64065896,0.07464163,0.21940536,0.06521422,3.71900883,1.13495915,2.1614937,1.93885494
IMG_8396,normal,0,S1,18.96,d_machine_x,0.5643461,0.03491898,0.04597149,0.06465366,0.0,0.60367773,0.28100163,0.07833909,0.03696144,0.14333486,0.78082741,4.24677092,2.7786519,0.15638447,0.05799435,0.28278941,0.14414923,0.0,0.51914293,0.07737647,0.30251215,0.10095917,2.17914066,1.46519978,2.02940217,1.94016754,0.11314576,0.06372628,0.25482367,0.14846245,0.0,0.5711557,0.08970238,0.25289395,0.08624672,2.81539457,1.30864719,2.08185806,1.94882151
IMG_8397,normal,0,S1,18.96,d_machine_x,0.41266978,0.02624235,0.01563228,0.05279712,0.0,0.79337592,0.16905127,0.02679727,0.01077242,0.10147248,0.42190066,3.29263786,2.7326387,0.13597474,0.05414614,0.27613456,0.17461233,0.0,0.64802694,0.05974953,0.21745929,0.07388427,2.42898579,1.15384074,2.1694135,2.0267395,0.10037548,0.0489481,0.2648182,0.14551968,0.0,0.61300831,0.08474174,0.21901624,0.08319965,3.12592589,1.22177628,1.93444769,1.88509808
IMG_8398,normal,0,S1,18.96,d_machine_x,0.40312238,0.0435732,0.03496236,0.07656397,0.0,0.72722229,0.19282537,0.05422668,0.02569257,0.19481817,0.60651767,5.19677694,4.00374372,0.14294499,0.05160319,0.17078224,0.12349221,0.0,0.7125197,0.07579836,0.15409501,0.05754999,1.55574136,0.89415862,2.09614633,1.93418604,0.07942156,0.058569,0.20182674,0.13136845,0.0,0.61776749,0.07151245,0.23776364,0.07295214,3.27865299,1.14166903,1.99056138,1.8880334
IMG_8399,normal,0,S1,18.96,d_machine_x,0.36606673,0.01864169,0.03057585,0.06112833,0.0,0.82771811,0.12231953,0.03592058,0.01401324,0.13444966,0.42270195,3.25145613,2.58883012,0.14241919,0.06519071,0.2296758,0.19115791,0.0,0.63483498,0.07609608,0.21394429,0.07510375,2.07041274,1.14796043,2.00998663,1.91772528,0.14909811,0.06734256,0.23492031,0.16211988,0.0,0.60310114,0.1007114,0.22762835,0.06854186,2.02727495,1.16834162,1.89777304,1.82756686
IMG_8400,normal,0,S1,18.96,d_machine_x,0.46696513,0.03372493,0.02361194,0.05393075,0.0,0.76447971,0.19152174,0.0312047,0.01275644,0.12278619,0.47629735,2.9305077,2.61854429,0.07038273,0.05160871,0.27549162,0.15602578,0.0,0.69488902,0.04929677,0.19317756,0.06145948,4.64745171,1.0065359,2.26262096,2.04351394,0.1128222,0.04980056,0.29020043,0.19731322,0.0,0.62274219,0.09065692,0.2155925,0.07098768,3.01359995,1.14165801,2.01826367,1.88172601
IMG_8401,normal,0,S1,18.96,d_machine_x,0.39009095,0.0376712,0.02763724,0.04956057,0.0,0.80093183,0.14037148,0.03866377,0.0199868,0.16741849,0.46266905,4.3619631,3.15600088,0.22272931,0.05498761,0.29210059,0.14529573,0.0,0.6422803,0.065775,0.21242587,0.07947032,1.55834089,1.15474869,2.19235494,1.9096626,0.11589254,0.06635228,0.26498254,0.18387894,0.0,0.67696158,0.05493801,0.20625366,0.06182563,2.85898307,1.06632618,2.11643849,1.96632854
IMG_8402,normal,0,S1,19.08,d_machine_y,0.42044242,0.0253914,0.02791384,0.0486407,0.0,0.77240354,0.17607712,0.03604606,0.01546815,0.12678369,0.47357169,3.7317632,3.25515847,0.32287344,0.05834112,0.28534473,0.14376962,0.0,0.47389287,0.13490848,0.29358266,0.09761581,1.06445995,1.46716146,1.95428841,1.85299103,0.11518669,0.07056769,0.26231701,0.1493966,0.0,0.58186502,0.08921505,0.24611785,0.08261821,2.88995784,1.27500622,2.02424315,1.80819929
IMG_8403,normal,0,S1,18.96,d_machine_x,0.65747916,0.04989418,0.02958709,0.05787648,0.0,0.54778298,0.38223466,0.04838752,0.02156343,0.12088788,0.7040154,3.25212677,2.88871664,0.16432894,0.06218411,0.29576045,0.11956385,0.0,0.48025341,0.12087283,0.30566152,0.09196302,2.17821981,1.47054441,2.11482686,1.73330622,0.12632786,0.06415175,0.26553882,0.18613749,0.0,0.53932124,0.12548304,0.25368983,0.08145446,2.60980104,1.29390196,2.23607089,1.80805786
