clip,group,severity,folder,created,codec,width,height,n_frames,meta_fps,container_sec,has_audio,bytes,path
IMG_8390,normal,0,normal,2026-08-22T16:26:16.000000Z,hevc,1080,1920,2235,30.0,74.5,True,108162987,C:\Users\more_\Downloads\Arise H4\normal\IMG_8390.MOV
IMG_8391,normal,0,normal,2026-08-22T16:26:26.000000Z,hevc,1080,1920,2226,30.0,74.2,True,108008068,C:\Users\more_\Downloads\Arise H4\normal\IMG_8391.MOV
IMG_8392,normal,0,normal,2026-08-22T16:26:36.000000Z,hevc,1080,1920,2265,30.0,75.5,True,109839162,C:\Users\more_\Downloads\Arise H4\normal\IMG_8392.MOV
IMG_8393,normal,0,normal,2026-08-22T16:26:46.000000Z,hevc,1080,1920,2236,30.0,74.53,True,107743136,C:\Users\more_\Downloads\Arise H4\normal\IMG_8393.MOV
IMG_8394,normal,0,normal,2026-08-22T16:26:56.000000Z,hevc,1080,1920,2251,30.0,75.03,True,109179274,C:\Users\more_\Downloads\Arise H4\normal\IMG_8394.MOV
IMG_8395,normal,0,normal,2026-08-22T16:27:05.000000Z,hevc,1080,1920,2229,30.0,74.3,True,107963782,C:\Users\more_\Downloads\Arise H4\normal\IMG_8395.MOV
IMG_8396,normal,0,normal,2026-08-22T16:27:15.000000Z,hevc,1080,1920,2241,30.0,74.7,True,108071495,C:\Users\more_\Downloads\Arise H4\normal\IMG_8396.MOV
IMG_8397,normal,0,normal,2026-08-22T16:27:25.000000Z,hevc,1080,1920,2273,30.0,75.77,True,109657719,C:\Users\more_\Downloads\Arise H4\normal\IMG_8397.MOV
IMG_8398,normal,0,normal,2026-08-22T16:27:36.000000Z,hevc,1080,1920,2220,30.0,74.0,True,107695982,C:\Users\more_\Downloads\Arise H4\normal\IMG_8398.MOV
IMG_8399,normal,0,normal,2026-08-22T16:27:46.000000Z,hevc,1080,1920,2245,30.0,74.83,True,108253291,C:\Users\more_\Downloads\Arise H4\normal\IMG_8399.MOV
IMG_8400,normal,0,normal,2026-08-22T16:27:56.000000Z,hevc,1080,1920,2248,30.0,74.93,True,109029513,C:\Users\more_\Downloads\Arise H4\normal\IMG_8400.MOV
IMG_8401,normal,0,normal,2026-08-22T16:28:07.000000Z,hevc,1080,1920,2241,30.0,74.7,True,108783479,C:\Users\more_\Downloads\Arise H4\normal\IMG_8401.MOV
IMG_8402,normal,0,normal,2026-08-22T16:28:19.000000Z,hevc,1080,1920,2212,30.0,73.73,True,107257896,C:\Users\more_\Downloads\Arise H4\normal\IMG_8402.MOV
IMG_8403,normal,0,normal,2026-08-22T16:28:31.000000Z,hevc,1080,1920,2242,30.0,74.73,True,108392580,C:\Users\more_\Downloads\Arise H4\normal\IMG_8403.MOV
IMG_8404,normal,0,normal,2026-08-22T16:28:42.000000Z,hevc,1080,1920,2232,30.0,74.4,True,107807183,C:\Users\more_\Downloads\Arise H4\normal\IMG_8404.MOV
IMG_8405,normal,0,normal,2026-08-22T16:28:53.000000Z,hevc,1080,1920,2221,30.0,74.03,True,107799148,C:\Users\more_\Downloads\Arise H4\normal\IMG_8405.MOV
IMG_8406,normal,0,normal,2026-08-22T16:29:04.000000Z,hevc,1080,1920,2219,30.0,73.97,True,106954826,C:\Users\more_\Downloads\Arise H4\normal\IMG_8406.MOV
IMG_8407,normal,0,normal,2026-08-22T16:29:16.000000Z,hevc,1080,1920,2239,30.0,74.63,True,107916383,C:\Users\more_\Downloads\Arise H4\normal\IMG_8407.MOV
IMG_8408,normal,0,normal,2026-08-22T16:29:27.000000Z,hevc,1080,1920,2209,30.0,73.63,True,107091966,C:\Users\more_\Downloads\Arise H4\normal\IMG_8408.MOV
IMG_8409,normal,0,normal,2026-08-22T16:29:47.000000Z,hevc,1080,1920,2232,30.0,74.4,True,107489405,C:\Users\more_\Downloads\Arise H4\normal\IMG_8409.MOV
IMG_8410,normal,0,normal,2026-08-22T16:30:04.000000Z,hevc,1080,1920,2234,30.0,74.47,True,108327075,C:\Users\more_\Downloads\Arise H4\normal\IMG_8410.MOV
IMG_8411,normal,0,normal,2026-08-22T16:30:25.000000Z,hevc,1080,1920,2215,30.0,73.83,True,106765018,C:\Users\more_\Downloads\Arise H4\normal\IMG_8411.MOV
IMG_8412,normal,0,normal,2026-08-22T16:30:41.000000Z,hevc,1080,1920,2213,30.0,73.77,True,107290825,C:\Users\more_\Downloads\Arise H4\normal\IMG_8412.MOV
IMG_8413,normal,0,normal,2026-08-22T16:30:53.000000Z,hevc,1080,1920,2209,30.0,73.63,True,106717234,C:\Users\more_\Downloads\Arise H4\normal\IMG_8413.MOV
IMG_8414,normal,0,normal,2026-08-22T16:31:07.000000Z,hevc,1080,1920,2213,30.0,73.77,True,106701944,C:\Users\more_\Downloads\Arise H4\normal\IMG_8414.MOV
IMG_8415,normal,0,normal,2026-08-22T16:31:22.000000Z,hevc,1080,1920,2227,30.0,74.23,True,107913509,C:\Users\more_\Downloads\Arise H4\normal\IMG_8415.MOV
IMG_8418,normal,0,normal,2026-08-22T17:25:54.000000Z,hevc,1080,1920,2213,30.0,73.77,True,104599973,C:\Users\more_\Downloads\Arise H4\normal\IMG_8418.MOV
IMG_8419,normal,0,normal,2026-08-22T17:32:52.000000Z,hevc,1080,1920,2231,30.0,74.37,True,107489929,C:\Users\more_\Downloads\Arise H4\normal\IMG_8419.MOV
IMG_8420,normal,0,normal,2026-08-22T17:33:01.000000Z,hevc,1080,1920,2210,30.0,73.67,True,107213574,C:\Users\more_\Downloads\Arise H4\normal\IMG_8420.MOV
IMG_8421,normal,0,normal,2026-08-22T17:33:11.000000Z,hevc,1080,1920,2249,30.0,74.97,True,108502336,C:\Users\more_\Downloads\Arise H4\normal\IMG_8421.MOV
IMG_8422,normal,0,normal,2026-08-22T17:33:21.000000Z,hevc,1080,1920,2242,30.0,74.73,True,108593989,C:\Users\more_\Downloads\Arise H4\normal\IMG_8422.MOV
IMG_8423,normal,0,normal,2026-08-22T17:32:42.000000Z,hevc,1080,1920,2235,30.0,74.5,True,108323451,C:\Users\more_\Downloads\Arise H4\normal\IMG_8423.MOV
IMG_8424,normal,0,normal,2026-08-22T17:24:39.000000Z,hevc,1080,1920,2247,30.0,74.9,True,109057629,C:\Users\more_\Downloads\Arise H4\normal\IMG_8424.MOV
IMG_8425,normal,0,normal,2026-08-22T17:24:49.000000Z,hevc,1080,1920,2223,30.0,74.1,True,107209023,C:\Users\more_\Downloads\Arise H4\normal\IMG_8425.MOV
IMG_8426,normal,0,normal,2026-08-22T17:24:30.000000Z,hevc,1080,1920,2222,30.0,74.07,True,107753919,C:\Users\more_\Downloads\Arise H4\normal\IMG_8426.MOV
IMG_8427,normal,0,normal,2026-08-22T17:02:25.000000Z,hevc,1080,1920,2214,30.0,73.8,True,107416042,C:\Users\more_\Downloads\Arise H4\normal\IMG_8427.MOV
IMG_8428,normal,0,normal,2026-08-22T17:00:56.000000Z,hevc,1080,1920,2229,30.0,74.3,True,108128164,C:\Users\more_\Downloads\Arise H4\normal\IMG_8428.MOV
IMG_8429,normal,0,normal,2026-08-22T17:01:08.000000Z,hevc,1080,1920,2249,30.0,74.97,True,109118431,C:\Users\more_\Downloads\Arise H4\normal\IMG_8429.MOV
IMG_8431,normal,0,normal,2026-08-22T17:01:20.000000Z,hevc,1080,1920,2240,30.0,74.67,True,108716863,C:\Users\more_\Downloads\Arise H4\normal\IMG_8431.MOV
IMG_8432,normal,0,normal,2026-08-22T17:00:46.000000Z,hevc,1080,1920,2315,30.0,77.17,True,111311112,C:\Users\more_\Downloads\Arise H4\normal\IMG_8432.MOV
IMG_8444,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:32.000000Z,hevc,1080,1920,2242,30.0,74.73,True,108021597,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8444.MOV
IMG_8445,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:42.000000Z,hevc,1080,1920,2232,30.0,74.4,True,107396606,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8445.MOV
IMG_8446,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:52.000000Z,hevc,1080,1920,2187,30.0,72.9,True,105251370,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8446.MOV
IMG_8447,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:34:02.000000Z,hevc,1080,1920,2181,30.0,72.7,True,105110822,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8447.MOV
IMG_8448,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:34:12.000000Z,hevc,1080,1920,2227,30.0,74.23,True,107216706,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8448.MOV
IMG_8449,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:34:22.000000Z,hevc,1080,1920,2227,30.0,74.23,True,107213914,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8449.MOV
IMG_8450,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:34:33.000000Z,hevc,1080,1920,2228,30.0,74.27,True,107229722,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8450.MOV
IMG_8451,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:05.000000Z,hevc,1080,1920,2225,30.0,74.17,True,107076233,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8451.MOV
IMG_8453,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:22.000000Z,hevc,1080,1920,2218,30.0,73.93,True,107514865,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8453.MOV
IMG_8454,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:12.000000Z,hevc,1080,1920,2214,30.0,73.8,True,107621484,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8454.MOV
IMG_8455,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:33:03.000000Z,hevc,1080,1920,2211,30.0,73.7,True,106585599,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8455.MOV
IMG_8456,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:53.000000Z,hevc,1080,1920,2239,30.0,74.63,True,107891863,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8456.MOV
IMG_8457,under3g,1,น้อยกว่า3กรัม,2026-08-22T19:32:43.000000Z,hevc,1080,1920,2225,30.0,74.17,True,107794399,C:\Users\more_\Downloads\Arise H4\น้อยกว่า3กรัม\IMG_8457.MOV
