model,pca,features,criterion,n_cols,level,seed,fold
mahalanobis,3,all,1.161582,39,clip,42,S1
mahalanobis,3,machine,0.952167,26,clip,42,S1
mahalanobis,3,primary,1.249959,13,clip,42,S1
mahalanobis,3,orderband,1.541584,27,clip,42,S1
mahalanobis,5,all,1.633507,39,clip,42,S1
mahalanobis,5,machine,2.110764,26,clip,42,S1
mahalanobis,5,primary,3.231898,13,clip,42,S1
mahalanobis,5,orderband,1.492031,27,clip,42,S1
mahalanobis,8,all,2093142984198.6882,39,clip,42,S1
mahalanobis,8,machine,1577621105090.712,26,clip,42,S1
mahalanobis,8,primary,495648042645.4577,13,clip,42,S1
mahalanobis,8,orderband,1580638805717.2058,27,clip,42,S1
mahalanobis,auto,all,1.948761,39,clip,42,S1
mahalanobis,auto,machine,5.734967,26,clip,42,S1
mahalanobis,auto,primary,3.067375,13,clip,42,S1
mahalanobis,auto,orderband,2.328049,27,clip,42,S1
isolation_forest,auto,all,0.878705,39,clip,42,S1
isolation_forest,auto,machine,1.01321,26,clip,42,S1
isolation_forest,auto,primary,0.604425,13,clip,42,S1
isolation_forest,auto,orderband,0.941554,27,clip,42,S1
ocsvm,auto,all,232.660914,39,clip,42,S1
ocsvm,auto,machine,226.590945,26,clip,42,S1
ocsvm,auto,primary,208.557898,13,clip,42,S1
ocsvm,auto,orderband,567.470165,27,clip,42,S1
pca_recon,3,all,3.931664,39,clip,42,S1
pca_recon,3,machine,4.583939,26,clip,42,S1
pca_recon,3,primary,3.600056,13,clip,42,S1
pca_recon,3,orderband,3.889237,27,clip,42,S1
pca_recon,5,all,5.815755,39,clip,42,S1
pca_recon,5,machine,5.427472,26,clip,42,S1
pca_recon,5,primary,7.761227,13,clip,42,S1
pca_recon,5,orderband,9.631713,27,clip,42,S1
pca_recon,8,all,3512287116810832.0,39,clip,42,S1
pca_recon,8,machine,1177532706940760.8,26,clip,42,S1
pca_recon,8,primary,632726856003247.1,13,clip,42,S1
pca_recon,8,orderband,1124741214291543.6,27,clip,42,S1
pca_recon,auto,all,10.223148,39,clip,42,S1
pca_recon,auto,machine,8.129381,26,clip,42,S1
pca_recon,auto,primary,6.596597,13,clip,42,S1
pca_recon,auto,orderband,6.78785,27,clip,42,S1
mahalanobis,3,all,1.93442,39,clip,42,S2
mahalanobis,3,machine,2.200885,26,clip,42,S2
mahalanobis,3,primary,1.69353,13,clip,42,S2
mahalanobis,3,orderband,3.933212,27,clip,42,S2
mahalanobis,5,all,2.67206,39,clip,42,S2
mahalanobis,5,machine,3.648046,26,clip,42,S2
mahalanobis,5,primary,7.377212,13,clip,42,S2
mahalanobis,5,orderband,3.594673,27,clip,42,S2
mahalanobis,8,all,6826837346040.255,39,clip,42,S2
mahalanobis,8,machine,3728091589023.14,26,clip,42,S2
mahalanobis,8,primary,438589878573.5472,13,clip,42,S2
mahalanobis,8,orderband,5322292524328.332,27,clip,42,S2
mahalanobis,auto,all,5.55545,39,clip,42,S2
mahalanobis,auto,machine,7.69225,26,clip,42,S2
mahalanobis,auto,primary,7.377212,13,clip,42,S2
mahalanobis,auto,orderband,6.249992,27,clip,42,S2
isolation_forest,auto,all,1.284438,39,clip,42,S2
isolation_forest,auto,machine,1.329719,26,clip,42,S2
isolation_forest,auto,primary,0.675691,13,clip,42,S2
isolation_forest,auto,orderband,1.349873,27,clip,42,S2
ocsvm,auto,all,347.38947,39,clip,42,S2
ocsvm,auto,machine,221.62215,26,clip,42,S2
ocsvm,auto,primary,128.053663,13,clip,42,S2
ocsvm,auto,orderband,348.089408,27,clip,42,S2
pca_recon,3,all,6.73132,39,clip,42,S2
pca_recon,3,machine,4.890987,26,clip,42,S2
pca_recon,3,primary,4.295188,13,clip,42,S2
pca_recon,3,orderband,4.754005,27,clip,42,S2
