level,seed,fold,model,pca,features,clip,group,session,is_fault,score,threshold,norm_score,flagged
clip,42,S1,isolation_forest,auto,primary,IMG_8390,normal,S1,0,0.54648601,0.60204143,0.9077216,0
clip,42,S1,isolation_forest,auto,primary,IMG_8391,normal,S1,0,0.58610057,0.60204143,0.97352199,0
clip,42,S1,isolation_forest,auto,primary,IMG_8392,normal,S1,0,0.60558574,0.60204143,1.00588715,1
clip,42,S1,isolation_forest,auto,primary,IMG_8393,normal,S1,0,0.54376528,0.60204143,0.90320242,0
clip,42,S1,isolation_forest,auto,primary,IMG_8394,normal,S1,0,0.61961592,0.60204143,1.02919149,1
clip,42,S1,isolation_forest,auto,primary,IMG_8395,normal,S1,0,0.58155986,0.60204143,0.9659798,0
clip,42,S1,isolation_forest,auto,primary,IMG_8396,normal,S1,0,0.55099455,0.60204143,0.91521035,0
clip,42,S1,isolation_forest,auto,primary,IMG_8397,normal,S1,0,0.48166728,0.60204143,0.8000567,0
clip,42,S1,isolation_forest,auto,primary,IMG_8398,normal,S1,0,0.57672219,0.60204143,0.95794434,0
clip,42,S1,isolation_forest,auto,primary,IMG_8399,normal,S1,0,0.47725722,0.60204143,0.79273152,0
clip,42,S1,isolation_forest,auto,primary,IMG_8400,normal,S1,0,0.49549625,0.60204143,0.82302683,0
clip,42,S1,isolation_forest,auto,primary,IMG_8401,normal,S1,0,0.49905241,0.60204143,0.82893366,0
clip,42,S1,isolation_forest,auto,primary,IMG_8402,normal,S1,0,0.48220959,0.60204143,0.80095749,0
clip,42,S1,isolation_forest,auto,primary,IMG_8403,normal,S1,0,0.5144269,0.60204143,0.85447093,0
clip,42,S1,isolation_forest,auto,primary,IMG_8404,normal,S1,0,0.54936196,0.60204143,0.91249859,0
clip,42,S1,isolation_forest,auto,primary,IMG_8405,normal,S1,0,0.43801124,0.60204143,0.72754335,0
clip,42,S1,isolation_forest,auto,primary,IMG_8406,normal,S1,0,0.5482398,0.60204143,0.91063466,0
clip,42,S1,isolation_forest,auto,primary,IMG_8407,normal,S1,0,0.5242343,0.60204143,0.87076117,0
clip,42,S1,isolation_forest,auto,primary,IMG_8408,normal,S1,0,0.49756944,0.60204143,0.82647043,0
clip,42,S1,isolation_forest,auto,primary,IMG_8409,normal,S1,0,0.54768759,0.60204143,0.90971743,0
clip,42,S1,isolation_forest,auto,primary,IMG_8410,normal,S1,0,0.46062461,0.60204143,0.7651045,0
clip,42,S1,isolation_forest,auto,primary,IMG_8411,normal,S1,0,0.50578368,0.60204143,0.8401144,0
clip,42,S1,isolation_forest,auto,primary,IMG_8412,normal,S1,0,0.53250041,0.60204143,0.88449131,0
