level,seed,fold,n_train,n_test_normal,model,pca,features,n_features,primary_axis,criterion,threshold,n_candidates
clip,42,S1,14,26,isolation_forest,auto,primary,13,d_machine_x,0.604425,0.60204143,40
clip,42,S2,35,5,isolation_forest,auto,primary,13,d_machine_x,0.675691,0.5822679,40
clip,42,S3,36,4,isolation_forest,auto,primary,13,d_machine_x,0.61155,0.59293302,40
clip,42,S4,35,5,isolation_forest,auto,primary,13,d_machine_x,0.447506,0.59586249,40
clip,43,S1,14,26,isolation_forest,auto,primary,13,d_machine_x,0.622106,0.6022503,40
clip,43,S2,35,5,isolation_forest,auto,primary,13,d_machine_x,0.668117,0.58159883,40
clip,43,S3,36,4,isolation_forest,auto,primary,13,d_machine_x,0.586598,0.58973307,40
clip,43,S4,35,5,isolation_forest,auto,primary,13,d_machine_x,0.511236,0.59759918,40
clip,44,S1,14,26,isolation_forest,auto,primary,13,d_machine_x,0.641224,0.61352893,40
clip,44,S2,35,5,isolation_forest,auto,primary,13,d_machine_x,0.653104,0.58502023,40
clip,44,S3,36,4,isolation_forest,auto,primary,13,d_machine_x,0.595096,0.59486075,40
clip,44,S4,35,5,isolation_forest,auto,primary,13,d_machine_x,0.479065,0.59558859,40
clip,45,S1,14,26,isolation_forest,auto,primary,13,d_machine_x,0.585332,0.6059804,40
clip,45,S2,35,5,isolation_forest,auto,primary,13,d_machine_x,0.654275,0.57725371,40
clip,45,S3,36,4,isolation_forest,auto,primary,13,d_machine_x,0.643624,0.59255501,40
clip,45,S4,35,5,isolation_forest,auto,primary,13,d_machine_x,0.483856,0.58925566,40
clip,46,S1,14,26,isolation_forest,auto,primary,13,d_machine_x,0.598378,0.61383404,40
clip,46,S2,35,5,isolation_forest,auto,primary,13,d_machine_x,0.713577,0.58207904,40
clip,46,S3,36,4,isolation_forest,auto,primary,13,d_machine_x,0.595566,0.58794601,40
clip,46,S4,35,5,isolation_forest,auto,primary,13,d_machine_x,0.492259,0.58997093,40
window,42,S1,42,78,mahalanobis,3,all,39,d_machine_x,1.011994,2.48344041,40
window,42,S2,105,15,isolation_forest,auto,primary,13,d_machine_x,0.897675,0.54909282,40
window,42,S3,108,12,isolation_forest,auto,primary,13,d_machine_x,0.761067,0.55503014,40
window,42,S4,105,15,isolation_forest,auto,primary,13,d_machine_x,0.806593,0.56006682,40
window,43,S1,42,78,mahalanobis,3,all,39,d_machine_x,1.011994,2.48344041,40
window,43,S2,105,15,isolation_forest,auto,primary,13,d_machine_x,0.979674,0.55320729,40
window,43,S3,108,12,isolation_forest,auto,primary,13,d_machine_x,0.787494,0.55448552,40
window,43,S4,105,15,isolation_forest,auto,primary,13,d_machine_x,0.822434,0.55648647,40
window,44,S1,42,78,mahalanobis,3,all,39,d_machine_x,1.011994,2.48344041,40
window,44,S2,105,15,isolation_forest,auto,primary,13,d_machine_x,0.959044,0.55584584,40
window,44,S3,108,12,isolation_forest,auto,primary,13,d_machine_x,0.777668,0.5542978,40
window,44,S4,105,15,isolation_forest,auto,primary,13,d_machine_x,0.813344,0.55074556,40
window,45,S1,42,78,mahalanobis,3,all,39,d_machine_x,1.011994,2.48344041,40
window,45,S2,105,15,isolation_forest,auto,primary,13,d_machine_x,0.893001,0.54984578,40
window,45,S3,108,12,isolation_forest,auto,primary,13,d_machine_x,0.766895,0.55547526,40
window,45,S4,105,15,isolation_forest,auto,primary,13,d_machine_x,0.767811,0.55335378,40
window,46,S1,42,78,mahalanobis,3,all,39,d_machine_x,1.011994,2.48344041,40
window,46,S2,105,15,isolation_forest,auto,primary,13,d_machine_x,0.996768,0.54721237,40
window,46,S3,108,12,isolation_forest,auto,primary,13,d_machine_x,0.778332,0.55303553,40
window,46,S4,105,15,isolation_forest,auto,primary,13,d_machine_x,0.853449,0.55257015,40
