level,seed,fold,n_normal,n_fault,auc,far,tpr_all,tpr_under3g,tpr_3g
clip,42,S1,26,24,0.7484,0.07692,0.0,0.0,0.0
clip,42,S2,5,24,1.0,0.0,0.95833,0.9375,1.0
clip,42,S3,4,24,1.0,0.0,0.83333,0.75,1.0
clip,42,S4,5,24,1.0,0.0,0.875,0.8125,1.0
clip,43,S1,26,24,0.73718,0.07692,0.0,0.0,0.0
clip,43,S2,5,24,1.0,0.0,1.0,1.0,1.0
clip,43,S3,4,24,1.0,0.0,1.0,1.0,1.0
clip,43,S4,5,24,1.0,0.0,0.91667,0.875,1.0
clip,44,S1,26,24,0.79808,0.0,0.0,0.0,0.0
clip,44,S2,5,24,1.0,0.0,0.91667,0.875,1.0
clip,44,S3,4,24,1.0,0.0,0.83333,0.75,1.0
clip,44,S4,5,24,1.0,0.0,0.75,0.625,1.0
clip,45,S1,26,24,0.78846,0.03846,0.0,0.0,0.0
clip,45,S2,5,24,1.0,0.0,0.875,0.8125,1.0
clip,45,S3,4,24,1.0,0.0,0.875,0.8125,1.0
clip,45,S4,5,24,1.0,0.0,0.83333,0.75,1.0
clip,46,S1,26,24,0.77404,0.0,0.0,0.0,0.0
clip,46,S2,5,24,1.0,0.0,0.875,0.8125,1.0
clip,46,S3,4,24,1.0,0.0,0.79167,0.6875,1.0
clip,46,S4,5,24,0.98333,0.0,0.79167,0.6875,1.0
window,42,S1,26,24,0.97917,0.07692,0.91667,0.875,1.0
window,42,S2,5,24,1.0,0.0,1.0,1.0,1.0
window,42,S3,4,24,1.0,0.0,0.95833,0.9375,1.0
window,42,S4,5,24,1.0,0.0,0.91667,0.875,1.0
window,43,S1,26,24,0.97917,0.07692,0.91667,0.875,1.0
window,43,S2,5,24,1.0,0.0,1.0,1.0,1.0
window,43,S3,4,24,1.0,0.0,0.95833,0.9375,1.0
window,43,S4,5,24,1.0,0.0,1.0,1.0,1.0
window,44,S1,26,24,0.97917,0.07692,0.91667,0.875,1.0
window,44,S2,5,24,1.0,0.0,0.95833,0.9375,1.0
window,44,S3,4,24,1.0,0.0,0.95833,0.9375,1.0
window,44,S4,5,24,1.0,0.0,0.95833,0.9375,1.0
window,45,S1,26,24,0.97917,0.07692,0.91667,0.875,1.0
window,45,S2,5,24,1.0,0.0,0.91667,0.875,1.0
window,45,S3,4,24,1.0,0.0,0.91667,0.875,1.0
window,45,S4,5,24,1.0,0.0,0.95833,0.9375,1.0
window,46,S1,26,24,0.97917,0.07692,0.91667,0.875,1.0
window,46,S2,5,24,1.0,0.0,0.95833,0.9375,1.0
window,46,S3,4,24,1.0,0.0,0.95833,0.9375,1.0
window,46,S4,5,24,1.0,0.0,1.0,1.0,1.0
