clip,group,session,f0_hz,primary_axis,a1_px,a1_um,pooled_score,flagged
IMG_8390,normal,S1,18.96,d_machine_x,0.03706,14.43,0.88206,0
IMG_8391,normal,S1,18.84,d_machine_x,0.03672,14.29,0.95288,0
IMG_8392,normal,S1,18.84,d_machine_x,0.03271,12.73,1.00589,1
IMG_8393,normal,S1,18.96,d_machine_x,0.0374,14.56,0.87298,0
IMG_8394,normal,S1,19.08,d_machine_x,0.04184,16.28,0.99815,0
IMG_8395,normal,S1,19.08,d_machine_x,0.04674,18.19,0.93922,0
IMG_8396,normal,S1,18.96,d_machine_x,0.04612,17.95,0.89958,0
IMG_8397,normal,S1,18.96,d_machine_x,0.08526,33.19,0.8004,0
IMG_8398,normal,S1,18.96,d_machine_x,0.04396,17.11,0.92584,0
IMG_8399,normal,S1,18.96,d_machine_x,0.04675,18.2,0.79273,0
IMG_8400,normal,S1,18.96,d_machine_x,0.07643,29.75,0.81739,0
IMG_8401,normal,S1,18.96,d_machine_x,0.0454,17.67,0.82621,0
IMG_8402,normal,S1,19.08,d_machine_y,0.01589,6.19,0.80002,0
IMG_8403,normal,S1,18.96,d_machine_x,0.0944,36.74,0.82681,0
IMG_8404,normal,S1,19.08,d_machine_x,0.03761,14.64,0.87809,0
IMG_8405,normal,S1,19.08,d_machine_y,0.01262,4.91,0.70729,0
IMG_8406,normal,S1,19.08,d_machine_y,0.02387,9.29,0.88208,0
IMG_8407,normal,S1,19.08,d_machine_x,0.10526,40.97,0.85773,0
IMG_8408,normal,S1,19.08,d_machine_y,0.02541,9.89,0.83027,0
IMG_8409,normal,S1,18.96,d_machine_x,0.06059,23.59,0.88163,0
IMG_8410,normal,S1,19.08,d_machine_y,0.01474,5.74,0.7611,0
IMG_8411,normal,S1,18.96,d_machine_y,0.01609,6.26,0.83219,0
IMG_8412,normal,S1,19.08,d_machine_y,0.01882,7.32,0.88449,0
IMG_8413,normal,S1,19.08,d_machine_x,0.04619,17.98,0.77074,0
IMG_8414,normal,S1,19.08,d_machine_x,0.03849,14.98,0.98193,0
IMG_8415,normal,S1,19.08,d_machine_x,0.03575,13.92,0.81756,0
IMG_8418,normal,S3,19.08,d_machine_x,0.05064,19.71,0.81561,0
IMG_8419,normal,S4,19.08,d_machine_x,0.04862,18.93,0.66873,0
IMG_8420,normal,S4,19.08,d_machine_x,0.04022,15.65,0.70008,0
IMG_8421,normal,S4,19.08,d_machine_y,0.0111,4.32,0.95169,0
IMG_8422,normal,S4,19.08,d_machine_x,0.03946,15.36,0.73261,0
IMG_8423,normal,S4,19.08,d_machine_x,0.04456,17.34,0.67601,0
IMG_8424,normal,S3,19.08,d_machine_x,0.0412,16.04,0.77819,0
IMG_8425,normal,S3,19.08,d_machine_x,0.04354,16.95,0.86654,0
IMG_8426,normal,S3,18.96,d_machine_x,0.03862,15.03,0.73348,0
IMG_8427,normal,S2,19.08,d_machine_x,0.03999,15.57,0.70089,0
IMG_8428,normal,S2,19.08,d_machine_x,0.04639,18.06,0.70246,0
IMG_8429,normal,S2,19.08,d_machine_x,0.0428,16.66,0.71483,0
IMG_8431,normal,S2,18.96,d_machine_x,0.04263,16.59,0.79619,0
IMG_8432,normal,S2,18.96,d_machine_x,0.042,16.35,0.71662,0
IMG_8436,3g,S5,18.12,d_machine_x,2.43112,946.26,1.07342,1
IMG_8437,3g,S5,18.12,d_machine_x,2.65035,1031.59,1.05839,1
IMG_8438,3g,S5,18.12,d_machine_x,2.73008,1062.62,1.06162,1
IMG_8439,3g,S5,18.12,d_machine_x,2.44926,953.32,1.08104,1
IMG_8440,3g,S5,18.0,d_machine_x,2.37515,924.47,1.06925,1
IMG_8441,3g,S5,18.12,d_machine_x,2.5306,984.98,1.0719,1
IMG_8442,3g,S5,18.12,d_machine_x,2.19307,853.6,1.08067,1
IMG_8443,3g,S5,18.12,d_machine_x,2.51428,978.63,1.06377,1
IMG_8444,under3g,S6,19.08,d_machine_x,0.15918,61.96,1.13713,1
IMG_8445,under3g,S6,18.96,d_machine_x,0.05482,21.34,1.00159,1
IMG_8446,under3g,S6,18.84,d_machine_x,0.06132,23.87,1.02649,1
IMG_8447,under3g,S6,18.96,d_machine_x,0.05711,22.23,0.9847,0
IMG_8448,under3g,S6,18.84,d_machine_x,0.06591,25.65,0.97396,0
IMG_8449,under3g,S6,18.84,d_machine_x,0.06466,25.17,0.96456,0
IMG_8450,under3g,S6,18.84,d_machine_x,0.07021,27.33,0.99761,0
IMG_8451,under3g,S6,18.96,d_machine_x,0.0542,21.1,1.05996,1
IMG_8453,under3g,S6,18.48,d_machine_x,0.28066,109.24,1.07454,1
IMG_8454,under3g,S6,18.6,d_machine_x,0.27372,106.54,1.07362,1
IMG_8455,under3g,S6,18.6,d_machine_x,0.19715,76.73,1.0654,1
IMG_8456,under3g,S6,18.6,d_machine_x,0.2109,82.09,1.05428,1
IMG_8457,under3g,S6,18.6,d_machine_x,0.21716,84.53,1.06194,1
IMG_8458,under3g,S6,18.48,d_machine_x,0.32494,126.48,1.07274,1
IMG_8459,under3g,S6,18.6,d_machine_x,0.35033,136.36,1.07735,1
IMG_8460,under3g,S6,18.48,d_machine_x,0.34847,135.63,1.08495,1
