clip,group,severity,session,created,n_frames_total,n_tracked,tracking_lost,f0_hz,f0_source,primary_axis,a1_over_noise,n_warnings,seed_machine_x,seed_machine_y,seed_base_x,seed_base_y,seed_ref_x,seed_ref_y,resp_machine,resp_base,resp_ref,weak_marker,sep_machine_base,sep_machine_ref,tile_pitch_px,mach_rms,base_rms,ref_rms,seconds
IMG_8436,3g,2,S5,2026-08-22T19:28:12.000000Z,2219,2000,False,18.12,spectral_peak_y,d_machine_x,481.942,4,490,754,542,1886,983,1463,21443.0,18089.6,16283.9,False,1132.623,863.423,135.0,2.43685,0.07156,0.05369,9.12
IMG_8437,3g,2,S5,2026-08-22T19:28:22.000000Z,2263,2000,False,18.12,spectral_peak_y,d_machine_x,577.272,4,489,755,542,1886,983,1463,21146.1,18035.2,15953.0,False,1132.627,876.852,159.0,2.29859,0.06686,0.05205,9.49
IMG_8438,3g,2,S5,2026-08-22T19:28:31.000000Z,2217,2000,False,18.12,spectral_peak_y,d_machine_x,635.757,4,491,754,542,1886,983,1463,22237.9,18298.6,16039.1,False,1132.997,862.585,110.0,2.39387,0.07993,0.05477,9.57
IMG_8439,3g,2,S5,2026-08-22T19:28:41.000000Z,2220,2000,False,18.12,spectral_peak_y,d_machine_x,638.389,4,486,757,542,1886,983,1463,22220.1,18209.0,16167.9,False,1130.543,863.514,159.0,2.36447,0.06958,0.0501,9.87
IMG_8440,3g,2,S5,2026-08-22T19:28:51.000000Z,2202,2000,False,18.0,spectral_peak_y,d_machine_x,459.314,4,486,757,542,1886,983,1463,21968.5,18489.6,15997.2,False,1130.329,849.243,110.0,2.31997,0.06989,0.05285,9.7
IMG_8441,3g,2,S5,2026-08-22T19:29:00.000000Z,2213,2000,False,18.12,spectral_peak_y,d_machine_x,501.866,4,488,755,543,1886,984,1463,21684.3,18255.3,15814.1,False,1133.106,864.665,110.0,2.32358,0.07632,0.0491,9.76
IMG_8442,3g,2,S5,2026-08-22T19:29:10.000000Z,2213,2000,False,18.12,spectral_peak_y,d_machine_x,529.238,4,485,757,542,1886,983,1463,22863.7,18371.7,15722.2,False,1130.493,863.734,87.0,2.26952,0.07924,0.06019,10.13
IMG_8443,3g,2,S5,2026-08-22T19:28:02.000000Z,2209,2000,False,18.12,spectral_peak_x,d_machine_x,449.136,4,490,754,542,1886,983,1463,21677.0,18488.5,15559.4,False,1132.243,849.037,110.0,2.24562,0.07331,0.04872,10.21
IMG_8390,normal,0,S1,2026-08-22T16:26:16.000000Z,2235,2000,False,18.96,spectral_peak_x,d_machine_x,33.262,5,527,656,564,1880,941,1415,23375.4,18639.1,16359.5,False,1224.487,866.059,94.0,0.09247,0.05182,0.06272,9.85
IMG_8391,normal,0,S1,2026-08-22T16:26:26.000000Z,2226,2000,False,18.84,spectral_peak_x,d_machine_x,29.376,5,527,656,565,1880,942,1415,22078.9,18763.4,16846.8,False,1223.8,864.726,44.0,0.09573,0.05689,0.0702,9.78
IMG_8392,normal,0,S1,2026-08-22T16:26:36.000000Z,2265,2000,False,18.84,spectral_peak_x,d_machine_x,28.527,6,528,656,564,1880,942,1415,22198.6,18677.0,16226.2,False,1253.231,891.518,94.0,0.10885,0.05945,0.07095,9.9
IMG_8393,normal,0,S1,2026-08-22T16:26:46.000000Z,2236,2000,False,18.96,spectral_peak_x,d_machine_x,30.726,6,527,656,565,1880,942,1415,23176.9,18828.6,16476.1,False,1224.483,865.768,45.0,0.10742,0.05097,0.05659,9.51
IMG_8394,normal,0,S1,2026-08-22T16:26:56.000000Z,2251,2000,False,19.08,spectral_peak_x,d_machine_x,36.124,6,527,655,565,1880,942,1415,22171.4,18565.3,16728.8,False,1224.386,865.193,43.0,0.09749,0.05651,0.06526,9.67
IMG_8395,normal,0,S1,2026-08-22T16:27:05.000000Z,2229,2000,False,19.08,spectral_peak_x,d_machine_x,40.808,6,527,655,565,1880,942,1415,22413.6,18797.2,16573.4,False,1224.748,865.804,44.0,0.10007,0.0458,0.05057,9.46
IMG_8396,normal,0,S1,2026-08-22T16:27:15.000000Z,2241,2000,False,18.96,spectral_peak_x,d_machine_x,39.327,5,527,656,565,1880,942,1415,22609.2,18780.3,16432.7,False,1224.654,866.085,44.0,0.086,0.04982,0.05576,9.65
IMG_8397,normal,0,S1,2026-08-22T16:27:25.000000Z,2273,2000,False,18.96,spectral_peak_x,d_machine_x,50.34,6,527,655,565,1880,942,1415,22274.0,18747.8,16634.8,False,1223.937,852.033,44.0,0.18658,0.04703,0.06125,9.61
IMG_8398,normal,0,S1,2026-08-22T16:27:36.000000Z,2220,2000,False,18.96,spectral_peak_x,d_machine_x,32.361,6,528,655,565,1880,942,1415,22140.7,18634.2,16710.4,False,1226.105,878.768,44.0,0.11917,0.05805,0.07092,9.22
IMG_8399,normal,0,S1,2026-08-22T16:27:46.000000Z,2245,2000,False,18.96,spectral_peak_x,d_machine_x,38.438,6,527,655,565,1880,942,1415,22803.6,18828.4,16267.0,False,1224.882,865.855,44.0,0.12015,0.04551,0.0525,9.1
IMG_8400,normal,0,S1,2026-08-22T16:27:56.000000Z,2248,2000,False,18.96,spectral_peak_x,d_machine_x,54.018,6,527,655,565,1880,942,1415,22150.7,18694.5,16414.9,False,1223.983,852.193,44.0,0.15443,0.04675,0.05747,9.12
IMG_8401,normal,0,S1,2026-08-22T16:28:07.000000Z,2241,2000,False,18.96,spectral_peak_x,d_machine_x,37.34,6,527,655,564,1880,942,1415,22532.4,18666.7,16357.8,False,1224.297,865.745,94.0,0.10845,0.05272,0.06196,9.05
IMG_8402,normal,0,S1,2026-08-22T16:28:19.000000Z,2212,2000,False,19.08,spectral_peak_x,d_machine_y,14.217,5,527,655,565,1880,942,1415,22764.6,18475.4,16417.8,False,1224.487,865.505,44.0,0.14304,0.05269,0.06067,9.33
IMG_8403,normal,0,S1,2026-08-22T16:28:31.000000Z,2242,2000,False,18.96,spectral_peak_x,d_machine_x,57.736,5,527,655,565,1880,942,1415,22752.8,19044.8,16298.6,False,1224.454,852.692,94.0,0.14143,0.04625,0.05405,9.11
IMG_8404,normal,0,S1,2026-08-22T16:28:42.000000Z,2232,2000,False,19.08,spectral_peak_x,d_machine_x,38.233,6,527,655,565,1880,942,1415,21803.8,18786.3,16518.2,False,1249.803,888.988,94.0,0.10425,0.04691,0.05447,9.12
IMG_8405,normal,0,S1,2026-08-22T16:28:53.000000Z,2221,2000,False,19.08,spectral_peak_x,d_machine_y,10.843,6,527,655,565,1880,942,1415,22216.1,18761.0,16450.4,False,1253.816,892.113,43.0,0.11036,0.05006,0.05732,8.9
IMG_8406,normal,0,S1,2026-08-22T16:29:04.000000Z,2219,2000,False,19.08,spectral_peak_x,d_machine_y,17.91,5,527,655,565,1880,942,1415,22449.8,18857.5,16249.8,False,1224.799,865.92,44.0,0.14072,0.04574,0.0555,8.87
IMG_8407,normal,0,S1,2026-08-22T16:29:16.000000Z,2239,2000,False,19.08,spectral_peak_x,d_machine_x,63.515,5,527,655,565,1880,942,1415,21990.2,18847.4,16357.2,False,1224.291,852.408,43.0,0.16491,0.04301,0.05571,8.88
IMG_8408,normal,0,S1,2026-08-22T16:29:27.000000Z,2209,2000,False,19.08,spectral_peak_x,d_machine_y,19.962,5,527,655,565,1880,942,1415,22524.7,18582.0,16532.4,False,1224.881,865.607,94.0,0.15752,0.0633,0.0747,9.13
IMG_8409,normal,0,S1,2026-08-22T16:29:47.000000Z,2232,2000,False,18.96,spectral_peak_x,d_machine_x,44.144,5,528,655,566,1880,943,1415,21483.6,18652.7,16115.3,False,1227.105,879.936,94.0,0.15075,0.05322,0.06719,9.25
IMG_8410,normal,0,S1,2026-08-22T16:30:04.000000Z,2234,2000,False,19.08,spectral_peak_x,d_machine_y,14.623,6,527,655,565,1880,942,1415,21687.8,18921.1,16488.5,False,1254.399,892.781,43.0,0.11903,0.04282,0.05474,8.89
IMG_8411,normal,0,S1,2026-08-22T16:30:25.000000Z,2215,2000,False,18.96,spectral_peak_x,d_machine_y,11.295,5,527,655,565,1880,943,1415,21532.4,18625.6,16144.3,False,1225.381,853.371,45.0,0.17387,0.04984,0.05788,9.02
IMG_8412,normal,0,S1,2026-08-22T16:30:41.000000Z,2213,2000,False,19.08,spectral_peak_x,d_machine_y,14.894,6,527,655,565,1880,942,1415,22105.1,18736.1,16729.8,False,1226.081,866.17,44.0,0.15163,0.05715,0.06485,9.18
IMG_8413,normal,0,S1,2026-08-22T16:30:53.000000Z,2209,2000,False,19.08,spectral_peak_x,d_machine_x,39.591,6,528,655,565,1880,943,1415,21544.4,18888.8,16377.7,False,1197.72,843.379,44.0,0.11001,0.04735,0.05624,9.21
IMG_8414,normal,0,S1,2026-08-22T16:31:07.000000Z,2213,2000,False,19.08,spectral_peak_x,d_machine_x,38.436,6,526,661,563,1867,935,1409,23843.6,18514.9,16444.8,False,1206.602,852.266,44.0,0.07186,0.06585,0.05616,8.88
IMG_8415,normal,0,S1,2026-08-22T16:31:22.000000Z,2227,2000,False,19.08,spectral_peak_x,d_machine_x,36.467,6,526,661,563,1867,936,1409,23905.9,18076.0,16404.1,False,1206.508,852.421,44.0,0.06885,0.05666,0.05142,8.91
IMG_8418,normal,0,S3,2026-08-22T17:25:54.000000Z,2213,2000,False,19.08,spectral_peak_x,d_machine_x,39.271,5,529,661,565,1843,929,1394,23603.0,19344.1,16813.8,False,1182.037,835.692,44.0,0.12679,0.10357,0.07397,8.92
IMG_8419,normal,0,S4,2026-08-22T17:32:52.000000Z,2231,2000,False,19.08,spectral_peak_x,d_machine_x,47.964,6,528,666,565,1856,931,1404,24088.5,18889.6,16696.4,False,1190.522,841.291,44.0,0.09988,0.05074,0.05248,8.91
IMG_8420,normal,0,S4,2026-08-22T17:33:01.000000Z,2210,2000,False,19.08,spectral_peak_x,d_machine_x,38.795,6,528,666,565,1856,931,1404,23857.3,19271.3,16302.8,False,1190.02,841.043,44.0,0.10258,0.16698,0.11061,9.23
IMG_8421,normal,0,S4,2026-08-22T17:33:11.000000Z,2249,2000,False,19.08,spectral_peak_x,d_machine_y,10.44,5,529,666,566,1856,932,1404,23892.5,18902.3,16550.7,False,1189.718,841.47,44.0,0.13427,0.15636,0.10492,8.92
IMG_8422,normal,0,S4,2026-08-22T17:33:21.000000Z,2242,2000,False,19.08,spectral_peak_x,d_machine_x,39.144,6,528,666,565,1856,931,1404,24258.2,19062.0,16431.9,False,1190.253,841.504,43.0,0.09698,0.1242,0.0857,8.86
IMG_8423,normal,0,S4,2026-08-22T17:32:42.000000Z,2235,2000,False,19.08,spectral_peak_x,d_machine_x,43.067,6,528,666,565,1856,931,1404,23726.4,18715.6,16451.2,False,1190.408,840.873,44.0,0.11053,0.07159,0.06669,9.0
IMG_8424,normal,0,S3,2026-08-22T17:24:39.000000Z,2247,2000,False,19.08,spectral_peak_x,d_machine_x,40.987,6,528,666,565,1856,931,1404,24008.1,19091.3,16801.2,False,1190.584,841.122,43.0,0.10027,0.13726,0.0902,9.4
