feature,cohens_d,abs_d,normal_mean,unbal_mean
d_machine_y.E_1x,68.04915,68.04915,0.107673,0.991262
d_machine_y.r1,28.0747,28.0747,0.185136,1.089053
d_machine_y.E_sub,-23.4221,23.4221,0.616921,0.000868
d_machine_y.r3,-13.65356,13.65356,0.264473,0.041443
d_machine_x.r1,12.21367,12.21367,0.710752,1.075125
d_machine_y.r05,-10.89881,10.89881,0.138254,0.003992
d_machine_y.E_mid,-8.85635,8.85635,0.213006,0.005577
d_machine_x.r05,-7.91856,7.91856,0.067752,0.017013
d_machine_x.E_1x,7.53495,7.53495,0.453358,0.964498
d_machine_x.E_sub,-6.28105,6.28105,0.489147,0.01324
d_machine_x.r2,5.65977,5.65977,0.045205,0.117691
d_machine_y.E_hi,-4.98367,4.98367,0.062392,0.002292
d_machine_x.E_hi,-4.23331,4.23331,0.016194,0.002892
d_machine_y.harm,-3.92131,3.92131,1.796543,0.083844
d_machine_x.centroid,3.67039,3.67039,0.723088,1.021171
d_machine_x.E_mid,-3.02622,3.02622,0.041277,0.019367
d_machine_x.crest,-2.47346,2.47346,3.041435,2.566753
d_machine_x.kurt,-1.8815,1.8815,2.617616,2.204933
d_machine_x.r3,-1.86965,1.86965,0.058409,0.039304
d_machine_y.kurt,1.12696,1.12696,2.033754,2.262321
d_machine_y.crest,-0.96983,0.96983,2.584104,2.215981
d_machine_y.centroid,-0.88902,0.88902,1.114414,1.015175
d_machine_y.r2,-0.08386,0.08386,0.0507,0.049827
d_machine_x.harm,0.04234,0.04234,0.145089,0.146079
d_machine_y.rbp,0.0,0.0,0.0,0.0
d_machine_x.rbp,0.0,0.0,0.0,0.0
