feature,cohens_d,abs_d,normal_mean,clay_mean
d_machine_x.E_mid,1.70255,1.70255,0.034716,0.051351
d_base_y.crest,-1.57507,1.57507,3.799486,3.141792
d_machine_x.E_hi,1.41807,1.41807,0.014501,0.020855
d_machine_x.E_1x,-1.24451,1.24451,0.351102,0.244285
d_machine_x.r1,-1.20956,1.20956,0.608092,0.504518
d_base_y.harm,1.12107,1.12107,0.666131,0.866076
d_base_y.E_1x,-1.08985,1.08985,0.082878,0.062769
d_base_y.r1,-1.02234,1.02234,0.091856,0.071408
d_machine_x.E_sub,1.01719,1.01719,0.599673,0.683317
d_machine_y.E_1x,0.81625,0.81625,0.083474,0.10069
d_machine_y.E_hi,0.7799,0.7799,0.031353,0.035517
d_base_y.r3,0.778,0.778,0.021507,0.025666
d_base_y.E_sub,0.73437,0.73437,0.800398,0.82528
d_machine_y.kurt,0.70914,0.70914,2.227116,2.511711
d_machine_x.r3,-0.60712,0.60712,0.047008,0.037684
d_machine_y.E_sub,-0.59318,0.59318,0.803836,0.782742
d_machine_y.crest,0.51499,0.51499,2.702019,2.907265
d_machine_y.centroid,0.46803,0.46803,0.631822,0.66958
d_base_y.E_mid,-0.44438,0.44438,0.085194,0.079036
d_base_y.centroid,-0.42,0.42,0.642354,0.612417
d_machine_x.centroid,-0.36706,0.36706,0.626181,0.603058
d_machine_y.r3,0.34745,0.34745,0.024928,0.02775
d_base_y.kurt,-0.29213,0.29213,2.893286,2.795774
d_base_y.E_hi,0.26733,0.26733,0.031318,0.032747
d_machine_x.harm,0.17265,0.17265,0.115805,0.119617
d_base_y.r05,-0.17057,0.17057,0.167993,0.16222
d_machine_y.r05,-0.16609,0.16609,0.151463,0.146056
d_base_y.r2,-0.10023,0.10023,0.036755,0.036003
d_machine_x.crest,0.09978,0.09978,3.824579,3.88807
d_machine_x.r2,-0.09813,0.09813,0.023924,0.023435
d_machine_x.r05,0.0813,0.0813,0.098721,0.1012
d_machine_x.kurt,0.07228,0.07228,2.969009,2.98171
d_machine_y.harm,-0.04691,0.04691,0.553111,0.539691
d_machine_y.E_mid,0.01996,0.01996,0.080095,0.080389
d_machine_y.r2,0.01636,0.01636,0.041226,0.041373
d_machine_y.r1,-0.00781,0.00781,0.144993,0.14449
d_machine_y.rbp,0.0,0.0,0.0,0.0
d_machine_x.rbp,0.0,0.0,0.0,0.0
d_base_y.rbp,0.0,0.0,0.0,0.0
