clip,axis,spectrum_corr,max_rel_diff,ref_peak_rank_in_app,tie_gap_pct,app_peak_hz,ref_peak_hz
IMG_8351.MOV,y,0.9724103,0.2222,3,7.28,3.0629,2.4066
IMG_8351.MOV,x,0.99749058,0.03377,1,0.0,2.9535,2.9535
IMG_8352.MOV,y,0.97741264,0.2174,1,0.0,3.6773,3.6773
IMG_8352.MOV,x,0.99359932,0.0585,1,0.0,19.0356,19.0356
IMG_8353.MOV,y,0.98038161,0.3425,1,0.0,3.3423,3.3423
IMG_8353.MOV,x,0.99840688,0.03014,1,0.0,19.0836,19.0836
IMG_8354.MOV,y,0.98201038,0.1714,1,0.0,3.0284,3.0284
IMG_8354.MOV,x,0.9976101,0.05393,1,0.0,3.0284,3.0284
IMG_8356.MOV,y,0.98862843,0.1269,3,11.205,2.055,3.1365
IMG_8356.MOV,x,0.99883774,0.01887,1,0.0,19.0356,19.0356
IMG_8357.MOV,y,0.98392458,0.2165,4,8.738,3.233,2.9097
IMG_8357.MOV,x,0.99618082,0.04367,1,0.0,3.0175,3.0175
IMG_8358.MOV,y,0.98635072,0.1142,1,0.0,2.9045,2.9045
IMG_8358.MOV,x,0.99638921,0.05939,1,0.0,3.0121,3.0121
IMG_8359.MOV,y,0.99102074,0.111,1,0.0,3.6299,3.6299
IMG_8359.MOV,x,0.9979875,0.02839,1,0.0,18.8968,18.8968
