dataset,line,order,shaft_hz,shaft_rpm,true_hz,nyquist_order,status,apparent_order,nearest_confusable,distance_to_confusable,shutter_gain_1_240s,shutter_gain_1_500s,shutter_gain_1_1000s
CWRU,FTF cage,0.39828,12.0,720,4.78,10.0,kept,0.3983,,,0.9993,0.9998,1.0
CWRU,FTF cage,0.39828,20.0,1200,7.97,6.0,kept,0.3983,,,0.9982,0.9996,0.9999
CWRU,FTF cage,0.39828,24.0,1440,9.56,5.0,kept,0.3983,,,0.9974,0.9994,0.9998
CWRU,FTF cage,0.39828,29.9,1794,11.91,4.013,kept,0.3983,,,0.996,0.9991,0.9998
CWRU,FTF cage,0.39828,40.0,2400,15.93,3.0,kept,0.3983,,,0.9928,0.9983,0.9996
CWRU,FTF cage,0.39828,50.0,3000,19.91,2.4,kept,0.3983,,,0.9887,0.9974,0.9993
CWRU,FTF cage,0.39828,58.5,3510,23.3,2.051,kept,0.3983,,,0.9846,0.9964,0.9991
CWRU,BPFO outer race,3.5848,12.0,720,43.02,10.0,kept,3.5848,,,0.948,0.9879,0.997
CWRU,BPFO outer race,3.5848,20.0,1200,71.7,6.0,kept,3.5848,,,0.8595,0.9665,0.9916
CWRU,BPFO outer race,3.5848,24.0,1440,86.04,5.0,kept,3.5848,,,0.8016,0.952,0.9879
CWRU,BPFO outer race,3.5848,29.9,1794,107.19,4.013,kept,3.5848,,,0.7027,0.9261,0.9812
CWRU,BPFO outer race,3.5848,40.0,2400,143.39,3.0,aliased,2.4152,2x (misalignment),0.415,0.508,0.8701,0.9665
CWRU,BPFO outer race,3.5848,50.0,3000,179.24,2.4,aliased,1.2152,1x (imbalance),0.215,0.3044,0.8016,0.948
CWRU,BPFO outer race,3.5848,58.5,3510,209.71,2.051,aliased,0.5178,1x (imbalance),0.482,0.1407,0.7347,0.9292
CWRU,BSF ball,4.7135,12.0,720,56.56,10.0,kept,4.7135,,,0.9111,0.9791,0.9947
CWRU,BSF ball,4.7135,20.0,1200,94.27,6.0,kept,4.7135,,,0.7648,0.9425,0.9854
CWRU,BSF ball,4.7135,24.0,1440,113.12,5.0,kept,4.7135,,,0.6726,0.9179,0.9791
CWRU,BSF ball,4.7135,29.9,1794,140.93,4.013,aliased,3.3133,3x (misalignment),0.313,0.5218,0.8743,0.9676
CWRU,BSF ball,4.7135,40.0,2400,188.54,3.0,aliased,1.2865,1x (imbalance),0.287,0.2528,0.782,0.9425
CWRU,BSF ball,4.7135,50.0,3000,235.67,2.4,aliased,0.0865,1x (imbalance),0.913,0.0183,0.6726,0.9111
CWRU,BSF ball,4.7135,58.5,3510,275.74,2.051,aliased,0.6109,1x (imbalance),0.389,0.1249,0.5697,0.8795
CWRU,BPFI inner race,5.4152,12.0,720,64.98,10.0,kept,5.4152,,,0.8837,0.9724,0.9931
CWRU,BPFI inner race,5.4152,20.0,1200,108.3,6.0,kept,5.4152,,,0.6971,0.9246,0.9808
CWRU,BPFI inner race,5.4152,24.0,1440,129.96,5.0,aliased,4.5848,3x (misalignment),1.585,0.5828,0.8925,0.9724
CWRU,BPFI inner race,5.4152,29.9,1794,161.91,4.013,aliased,2.6116,3x (misalignment),0.388,0.4026,0.8362,0.9574
CWRU,BPFI inner race,5.4152,40.0,2400,216.61,3.0,aliased,0.5848,1x (imbalance),0.415,0.1063,0.7186,0.9246
CWRU,BPFI inner race,5.4152,50.0,3000,270.76,2.4,aliased,0.6152,1x (imbalance),0.385,0.1106,0.5828,0.8837
CWRU,BPFI inner race,5.4152,58.5,3510,316.79,2.051,aliased,1.3126,1x (imbalance),0.313,0.2036,0.4588,0.8429
MAFAULDA,FTF cage,0.375,12.0,720,4.5,10.0,kept,0.375,,,0.9994,0.9999,1.0
MAFAULDA,FTF cage,0.375,20.0,1200,7.5,6.0,kept,0.375,,,0.9984,0.9996,0.9999
MAFAULDA,FTF cage,0.375,24.0,1440,9.0,5.0,kept,0.375,,,0.9977,0.9995,0.9999
MAFAULDA,FTF cage,0.375,29.9,1794,11.21,4.013,kept,0.375,,,0.9964,0.9992,0.9998
MAFAULDA,FTF cage,0.375,40.0,2400,15.0,3.0,kept,0.375,,,0.9936,0.9985,0.9996
MAFAULDA,FTF cage,0.375,50.0,3000,18.75,2.4,kept,0.375,,,0.99,0.9977,0.9994
MAFAULDA,FTF cage,0.375,58.5,3510,21.94,2.051,kept,0.375,,,0.9863,0.9968,0.9992
MAFAULDA,BSF ball,1.871,12.0,720,22.45,10.0,kept,1.871,,,0.9857,0.9967,0.9992
MAFAULDA,BSF ball,1.871,20.0,1200,37.42,6.0,kept,1.871,,,0.9605,0.9908,0.9977
MAFAULDA,BSF ball,1.871,24.0,1440,44.9,5.0,kept,1.871,,,0.9434,0.9868,0.9967
MAFAULDA,BSF ball,1.871,29.9,1794,55.94,4.013,kept,1.871,,,0.913,0.9795,0.9949
MAFAULDA,BSF ball,1.871,40.0,2400,74.84,3.0,kept,1.871,,,0.8475,0.9636,0.9908
MAFAULDA,BSF ball,1.871,50.0,3000,93.55,2.4,kept,1.871,,,0.7682,0.9434,0.9857
MAFAULDA,BSF ball,1.871,58.5,3510,109.45,2.051,kept,1.871,,,0.6913,0.923,0.9804
MAFAULDA,BPFO outer race,2.998,12.0,720,35.98,10.0,kept,2.998,,,0.9634,0.9915,0.9979
MAFAULDA,BPFO outer race,2.998,20.0,1200,59.96,6.0,kept,2.998,,,0.9004,0.9765,0.9941
MAFAULDA,BPFO outer race,2.998,24.0,1440,71.95,5.0,kept,2.998,,,0.8586,0.9663,0.9915
MAFAULDA,BPFO outer race,2.998,29.9,1794,89.64,4.013,kept,2.998,,,0.7858,0.948,0.9868
MAFAULDA,BPFO outer race,2.998,40.0,2400,119.92,3.0,kept,2.998,,,0.637,0.908,0.9765
MAFAULDA,BPFO outer race,2.998,50.0,3000,149.9,2.4,aliased,1.802,2x (misalignment),0.198,0.4711,0.8586,0.9634
MAFAULDA,BPFO outer race,2.998,58.5,3510,175.38,2.051,aliased,1.1046,1x (imbalance),0.105,0.326,0.8096,0.9502
