roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,label,detector
0.9985501242750621,0.0028997514498757537,0.9996602558718211,0.0006794882563579407,0.9383867193213398,0.07238026476091462,0.49324324324324326,0.5696551056312972,4,cwru_48k,acceleration,ball,mahalanobis
1.0,0.0,1.0,0.0,0.9321705426356588,0.07838662176804918,0.49324324324324326,0.5696551056312972,4,cwru_48k,acceleration,inner_race,mahalanobis
1.0,0.0,1.0,2.5639502485114184e-16,0.9710218828473325,0.035609146929504766,0.49324324324324326,0.5696551056312972,4,cwru_48k,acceleration,outer_race,mahalanobis
0.7156643032446341,0.1588123393496068,0.8825727493164397,0.07348282851329471,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,ball,mahalanobis
0.7451142113304275,0.08375868303229649,0.8993802448093463,0.03934689692469422,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,inner_race,mahalanobis
0.765253225705184,0.05515668870089116,0.9564971352462285,0.017536147273129063,0.44727252718425453,0.05471320479758377,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,outer_race,mahalanobis
0.7220548408403079,0.04858756336768038,0.9148397729754887,0.025021397060740455,0.28719918978627845,0.11976457234913729,0.02,0.031015120768150748,5,mafaulda,acceleration,horizontal_misalignment,mahalanobis
0.9523269396264282,0.018340311220078263,0.9926660571387831,0.002983434861974256,0.9003774938913711,0.03783153911412115,0.02,0.031015120768150748,5,mafaulda,acceleration,imbalance,mahalanobis
0.9770202343827872,0.017536647174032326,0.9849483969795172,0.019297444658887615,0.9255942756310743,0.025599876132113494,0.02,0.031015120768150748,5,mafaulda,acceleration,overhang_ball_fault,mahalanobis
0.973203943335067,0.011585245089095244,0.9912344435853049,0.006968376192646046,0.8802958661532229,0.02859634099039121,0.02,0.031015120768150748,5,mafaulda,acceleration,overhang_cage_fault,mahalanobis
0.9565239871085801,0.02871035752041303,0.9870102380857222,0.011484179973942767,0.8091515901208337,0.06320833802145207,0.02,0.031015120768150748,5,mafaulda,acceleration,overhang_outer_race,mahalanobis
0.9884757421781643,0.016654576571052248,0.9918449728966982,0.014818799470003682,0.9461207917242177,0.033671161228540455,0.02,0.031015120768150748,5,mafaulda,acceleration,underhang_ball_fault,mahalanobis
0.9636705217328055,0.022170590491683944,0.9894729222257277,0.006881801340675806,0.8369163772290837,0.03848220400884032,0.02,0.031015120768150748,5,mafaulda,acceleration,underhang_cage_fault,mahalanobis
0.9740657497174221,0.011153284896422295,0.9918276570494505,0.004955331571942703,0.8402673757364744,0.08396421355676567,0.02,0.031015120768150748,5,mafaulda,acceleration,underhang_outer_race,mahalanobis
0.743283398776847,0.05555678495546811,0.9501939528453077,0.011238182550601078,0.41711750481960674,0.06423480843275772,0.02,0.031015120768150748,5,mafaulda,acceleration,vertical_misalignment,mahalanobis
0.6217318930588827,0.09752195935290722,0.8595557749352313,0.04177473371038455,0.1160212182484646,0.05442099137902412,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,horizontal_misalignment,mahalanobis
0.8894021086764979,0.04538887951557828,0.9762750751810124,0.011969169536070677,0.5280876050359479,0.2514641084382718,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,imbalance,mahalanobis
0.9802416652935684,0.020342420677496607,0.991988254316283,0.007863612483837044,0.845070521582722,0.04594542737307694,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,overhang_ball_fault,mahalanobis
0.8736779048215946,0.07905024321673335,0.9512283430915964,0.03705169537631987,0.4528716400466467,0.21945211696827105,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,overhang_cage_fault,mahalanobis
0.9035080226830363,0.07354255156243192,0.9683462247615836,0.02717347597314291,0.6229698949603947,0.19964697061383568,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,overhang_outer_race,mahalanobis
0.8676110840397856,0.07058574341898138,0.9556288209396051,0.02396364535976931,0.372054805801584,0.06937098135124922,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,underhang_ball_fault,mahalanobis
0.8075338350552336,0.08751380883685723,0.9318676300596106,0.036810080172886304,0.3061521057414815,0.1692416104192246,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,underhang_cage_fault,mahalanobis
0.8121309775750376,0.07844353055960927,0.9273650642506197,0.039614611971151174,0.28103789398904716,0.15312785801232562,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,underhang_outer_race,mahalanobis
0.694725448177771,0.0972957834495463,0.9234202685445521,0.02532018520760939,0.1297590493269665,0.059464638626661646,0.017516339869281045,0.020520169672964123,5,mafaulda,displacement,vertical_misalignment,mahalanobis
