roc_auc,pr_auc,f1,far,n_norm,n_anom,dataset,featureset,split,n_train,median_f0_hz
0.7979848565887665,0.9924095941267153,0.06043890154694807,0.01647058823529412,425,16167,mafaulda,dimensionless,train_low_test_high,408,35.232
0.4363845742416469,0.9714057162882674,0.604704581224212,0.5735294117647058,408,16167,mafaulda,dimensionless,train_high_test_low,425,35.232
0.7147,,,0.0212,,,mafaulda,dimensionless,within_speed_5fold,0,35.232
0.7205026943046657,0.9906049075857319,0.5460266091334053,0.01647058823529412,425,16167,mafaulda,dimensionless_plus_raw,train_low_test_high,408,35.232
0.6852210142422777,0.9881599567446582,0.9665541385346337,0.8921568627450981,408,16167,mafaulda,dimensionless_plus_raw,train_high_test_low,425,35.232
0.7782,,,0.02,,,mafaulda,dimensionless_plus_raw,within_speed_5fold,0,35.232
0.5874589850785369,0.9858224769115647,0.6914253629582097,0.3458823529411765,425,16167,mafaulda,raw_only,train_low_test_high,408,35.232
0.8013111009233285,0.9940638582246926,0.9475971370143149,0.7377450980392157,408,16167,mafaulda,raw_only,train_high_test_low,425,35.232
0.7579,,,0.04,,,mafaulda,raw_only,within_speed_5fold,0,35.232
0.7327833456865716,0.9593771905056805,0.6698935140367861,0.054945054945054944,91,682,cwru_48k,dimensionless,train_low_test_high,37,29.197
0.5392285489372868,0.9730437138345107,0.686151704940849,0.4594594594594595,37,927,cwru_48k,dimensionless,train_high_test_low,91,29.197
0.6922,,,0.1149,,,cwru_48k,dimensionless,within_speed_5fold,0,29.197
0.8236118719989689,0.9732288063618044,0.7563176895306859,0.07692307692307693,91,682,cwru_48k,dimensionless_plus_raw,train_low_test_high,37,29.197
0.562961019271699,0.9744540799879313,0.7160326086956522,0.4864864864864865,37,927,cwru_48k,dimensionless_plus_raw,train_high_test_low,91,29.197
0.7371,,,0.1216,,,cwru_48k,dimensionless_plus_raw,within_speed_5fold,0,29.197
0.811672198768973,0.971706230138817,0.8013698630136986,0.1978021978021978,91,682,cwru_48k,raw_only,train_low_test_high,37,29.197
0.6757631417825594,0.9827145385023839,0.24597918637653737,0.0,37,927,cwru_48k,raw_only,train_high_test_low,91,29.197
0.7392,,,0.0135,,,cwru_48k,raw_only,within_speed_5fold,0,29.197
