dataset,label,speed_band,n_windows,median_f0_hz,rms_px_p10,rms_px_median,rms_px_p90,rms_um_median,a1_px_median,a1_um_median,frac_rms_above_0.005_px,frac_rms_above_0.01_px,frac_rms_above_0.05_px,frac_rms_above_0.1_px
mafaulda,horizontal_misalignment,all,3349,35.75,0.07148,0.14266,0.40038,49.19,0.06089,21.0,1.0,1.0,0.989,0.709
mafaulda,horizontal_misalignment,10-20 Hz,595,16.04,0.25736,0.40545,2.58189,139.81,0.04642,16.01,1.0,1.0,1.0,1.0
mafaulda,horizontal_misalignment,20-30 Hz,663,25.02,0.14052,0.24024,0.34332,82.84,0.10774,37.15,1.0,1.0,1.0,0.998
mafaulda,horizontal_misalignment,30-40 Hz,697,35.23,0.08758,0.13674,0.30051,47.15,0.06341,21.87,1.0,1.0,1.0,0.789
mafaulda,horizontal_misalignment,40-50 Hz,697,45.11,0.07644,0.10537,0.19718,36.33,0.0649,22.38,1.0,1.0,1.0,0.574
mafaulda,horizontal_misalignment,50-65 Hz,697,55.0,0.05499,0.07778,0.12309,26.82,0.04744,16.36,1.0,1.0,0.945,0.242
mafaulda,imbalance,all,5661,35.88,0.16772,0.38917,0.76795,134.2,0.39631,136.66,1.0,1.0,1.0,0.984
mafaulda,imbalance,10-20 Hz,918,16.19,0.26117,0.4377,1.18131,150.93,0.08335,28.74,1.0,1.0,1.0,1.0
mafaulda,imbalance,20-30 Hz,1258,25.06,0.30824,0.59084,1.07813,203.74,0.7351,253.48,1.0,1.0,1.0,1.0
mafaulda,imbalance,30-40 Hz,1173,35.22,0.14494,0.27858,0.5661,96.06,0.3513,121.14,1.0,1.0,1.0,0.992
mafaulda,imbalance,40-50 Hz,1190,44.79,0.11045,0.38316,0.63036,132.12,0.46871,161.62,1.0,1.0,1.0,0.932
mafaulda,imbalance,50-65 Hz,1122,54.32,0.14382,0.3121,0.5197,107.62,0.38695,133.43,1.0,1.0,1.0,1.0
mafaulda,normal,all,833,35.56,0.07056,0.10652,0.33397,36.73,0.06219,21.44,1.0,1.0,0.999,0.531
mafaulda,normal,10-20 Hz,153,15.86,0.21683,0.34614,0.516,119.36,0.07138,24.61,1.0,1.0,1.0,1.0
mafaulda,normal,20-30 Hz,170,25.48,0.15256,0.21705,0.27192,74.85,0.11724,40.43,1.0,1.0,1.0,1.0
mafaulda,normal,30-40 Hz,170,35.09,0.07735,0.09415,0.15693,32.47,0.06343,21.87,1.0,1.0,1.0,0.4
