test,condition,hours,rms
2nd_test,accel_full,0.0,0.72052381
2nd_test,accel_full,0.1667,0.7377198
2nd_test,accel_full,0.3333,0.74552557
2nd_test,accel_full,0.5,0.77007661
2nd_test,accel_full,0.6667,0.76934157
2nd_test,accel_full,0.8333,0.76955684
2nd_test,accel_full,1.0,0.77079229
2nd_test,accel_full,1.1667,0.76203943
2nd_test,accel_full,1.3333,0.77313174
2nd_test,accel_full,1.5,0.74033175
2nd_test,accel_full,1.6667,0.7767546
2nd_test,accel_full,1.8333,0.76260779
2nd_test,accel_full,2.0,0.75680314
2nd_test,accel_full,2.1667,0.78037264
2nd_test,accel_full,2.3333,0.77553027
2nd_test,accel_full,2.5,0.77278948
2nd_test,accel_full,2.6667,0.76781326
2nd_test,accel_full,2.8333,0.76089585
2nd_test,accel_full,3.0,0.76189633
2nd_test,accel_full,3.1667,0.77341661
2nd_test,accel_full,3.3333,0.77558512
2nd_test,accel_full,3.5,0.77783649
2nd_test,accel_full,3.6667,0.77950616
2nd_test,accel_full,3.8333,0.78356081
2nd_test,accel_full,4.0,0.7771117
2nd_test,accel_full,4.1667,0.75931743
2nd_test,accel_full,4.3333,0.76305569
2nd_test,accel_full,4.5,0.75831157
2nd_test,accel_full,4.6667,0.76790784
2nd_test,accel_full,4.8333,0.77228244
2nd_test,accel_full,5.0,0.77205337
2nd_test,accel_full,5.1667,0.78654536
2nd_test,accel_full,5.3333,0.75846639
2nd_test,accel_full,5.5,0.77382773
2nd_test,accel_full,5.6667,0.7644867
2nd_test,accel_full,5.8333,0.76592737
2nd_test,accel_full,6.0,0.75285116
2nd_test,accel_full,6.1667,0.78165279
2nd_test,accel_full,6.3333,0.75999978
2nd_test,accel_full,6.5,0.76809162
2nd_test,accel_full,6.6667,0.76923679
2nd_test,accel_full,6.8333,0.77059893
2nd_test,accel_full,7.0,0.76104712
2nd_test,accel_full,7.1667,0.76507701
2nd_test,accel_full,7.3333,0.76442128
2nd_test,accel_full,7.5,0.74794906
2nd_test,accel_full,7.6667,0.7727875
2nd_test,accel_full,7.8333,0.75594928
2nd_test,accel_full,8.0,0.7654502
2nd_test,accel_full,8.1667,0.75459277
2nd_test,accel_full,8.3333,0.76905456
2nd_test,accel_full,8.5,0.76852449
2nd_test,accel_full,8.6667,0.77827771
2nd_test,accel_full,8.8333,0.75276021
2nd_test,accel_full,9.0,0.75040261
2nd_test,accel_full,9.1667,0.76253832
2nd_test,accel_full,9.3333,0.75557991
2nd_test,accel_full,9.5,0.7573996
2nd_test,accel_full,9.6667,0.74533396
2nd_test,accel_full,9.8333,0.76441659
2nd_test,accel_full,10.0,0.77159158
2nd_test,accel_full,10.1667,0.75635103
2nd_test,accel_full,10.3333,0.77737019
2nd_test,accel_full,10.5,0.75009453
2nd_test,accel_full,10.6667,0.753405
2nd_test,accel_full,10.8333,0.75243148
2nd_test,accel_full,11.0,0.75974502
2nd_test,accel_full,11.1667,0.75009361
2nd_test,accel_full,11.3333,0.7534762
2nd_test,accel_full,11.5,0.75589277
2nd_test,accel_full,11.6667,0.74396945
2nd_test,accel_full,11.8333,0.75091782
2nd_test,accel_full,12.0,0.75798793
2nd_test,accel_full,12.1667,0.76408596
2nd_test,accel_full,12.3333,0.77217329
2nd_test,accel_full,12.5,0.76005004
2nd_test,accel_full,12.6667,0.75277088
2nd_test,accel_full,12.8333,0.7655333
2nd_test,accel_full,13.0,0.75245732
2nd_test,accel_full,13.1667,0.75813869
2nd_test,accel_full,13.3333,0.75629307
2nd_test,accel_full,13.5,0.73317095
2nd_test,accel_full,13.6667,0.75638373
2nd_test,accel_full,13.8333,0.7521503
2nd_test,accel_full,14.0,0.75954214
2nd_test,accel_full,14.1667,0.75760114
2nd_test,accel_full,14.3333,0.75315616
2nd_test,accel_full,14.5,0.73039597
2nd_test,accel_full,14.6667,0.76062639
2nd_test,accel_full,14.8333,0.76278957
2nd_test,accel_full,15.0,0.76895306
2nd_test,accel_full,15.1667,0.74609003
2nd_test,accel_full,15.3333,0.75087309
2nd_test,accel_full,15.5,0.73535532
2nd_test,accel_full,15.6667,0.7652271
2nd_test,accel_full,15.8333,0.75669515
2nd_test,accel_full,16.0,0.76875311
2nd_test,accel_full,16.1667,0.74950258
2nd_test,accel_full,16.3333,0.76017581
2nd_test,accel_full,16.5,0.74322715
2nd_test,accel_full,16.6667,0.76066418
2nd_test,accel_full,16.8333,0.74975888
2nd_test,accel_full,17.0,0.74958685
2nd_test,accel_full,17.1667,0.74930998
2nd_test,accel_full,17.3333,0.75766119
2nd_test,accel_full,17.5,0.76240934
2nd_test,accel_full,17.6667,0.75353795
2nd_test,accel_full,17.8333,0.74576271
2nd_test,accel_full,18.0,0.74413366
2nd_test,accel_full,18.1667,0.75948018
2nd_test,accel_full,18.3333,0.75067556
2nd_test,accel_full,18.5,0.74735653
2nd_test,accel_full,18.6667,0.76242162
2nd_test,accel_full,18.8333,0.74483984
2nd_test,accel_full,19.0,0.75148904
2nd_test,accel_full,19.1667,0.73966292
2nd_test,accel_full,19.3333,0.77425691
2nd_test,accel_full,19.5,0.75535432
2nd_test,accel_full,19.6667,0.76357702
2nd_test,accel_full,19.8333,0.75508006
2nd_test,accel_full,20.0,0.75303232
2nd_test,accel_full,20.1667,0.76290705
2nd_test,accel_full,20.3333,0.76154838
2nd_test,accel_full,20.5,0.7755597
2nd_test,accel_full,20.6667,0.74847402
2nd_test,accel_full,20.8333,0.75191052
2nd_test,accel_full,21.0,0.74547565
2nd_test,accel_full,21.1667,0.74782173
2nd_test,accel_full,21.3333,0.7478028
2nd_test,accel_full,21.5,0.73293717
2nd_test,accel_full,21.6667,0.74209387
2nd_test,accel_full,21.8333,0.74743921
2nd_test,accel_full,22.0,0.74594152
2nd_test,accel_full,22.1667,0.75315706
2nd_test,accel_full,22.3333,0.76038398
2nd_test,accel_full,22.5,0.76428926
2nd_test,accel_full,22.6667,0.76225113
2nd_test,accel_full,22.8333,0.74811533
2nd_test,accel_full,23.0,0.76306005
2nd_test,accel_full,23.1667,0.73804169
2nd_test,accel_full,23.3333,0.75255622
2nd_test,accel_full,23.5,0.75963896
2nd_test,accel_full,23.6667,0.75198137
2nd_test,accel_full,23.8333,0.75147198
2nd_test,accel_full,24.0,0.74452401
2nd_test,accel_full,24.1667,0.74484184
2nd_test,accel_full,24.3333,0.74475458
2nd_test,accel_full,24.5,0.73997062
2nd_test,accel_full,24.6667,0.74799293
2nd_test,accel_full,24.8333,0.75268028
2nd_test,accel_full,25.0,0.73627287
2nd_test,accel_full,25.1667,0.76955215
2nd_test,accel_full,25.3333,0.7538295
2nd_test,accel_full,25.5,0.74978716
2nd_test,accel_full,25.6667,0.74883616
2nd_test,accel_full,25.8333,0.7580149
2nd_test,accel_full,26.0,0.7708643
2nd_test,accel_full,26.1667,0.77285992
2nd_test,accel_full,26.3333,0.75401439
2nd_test,accel_full,26.5,0.75728316
2nd_test,accel_full,26.6667,0.7488824
2nd_test,accel_full,26.8333,0.76954321
2nd_test,accel_full,27.0,0.75407804
2nd_test,accel_full,27.1667,0.75819267
2nd_test,accel_full,27.3333,0.7445292
2nd_test,accel_full,27.5,0.76143614
2nd_test,accel_full,27.6667,0.75655742
2nd_test,accel_full,27.8333,0.76107404
2nd_test,accel_full,28.0,0.76220133
2nd_test,accel_full,28.1667,0.75667166
2nd_test,accel_full,28.3333,0.74808441
2nd_test,accel_full,28.5,0.76484544
2nd_test,accel_full,28.6667,0.74729924
2nd_test,accel_full,28.8333,0.73886214
2nd_test,accel_full,29.0,0.75285375
2nd_test,accel_full,29.1667,0.73998602
2nd_test,accel_full,29.3333,0.76863551
2nd_test,accel_full,29.5,0.7399784
2nd_test,accel_full,29.6667,0.74059053
2nd_test,accel_full,29.8333,0.74994776
2nd_test,accel_full,30.0,0.75041138
2nd_test,accel_full,30.1667,0.74238367
2nd_test,accel_full,30.3333,0.73689466
2nd_test,accel_full,30.5,0.76465021
2nd_test,accel_full,30.6667,0.74756204
2nd_test,accel_full,30.8333,0.7629353
2nd_test,accel_full,31.0,0.75007902
2nd_test,accel_full,31.1667,0.77196628
2nd_test,accel_full,31.3333,0.74040032
2nd_test,accel_full,31.5,0.75684762
2nd_test,accel_full,31.6667,0.7371508
2nd_test,accel_full,31.8333,0.75977102
2nd_test,accel_full,32.0,0.75619537
2nd_test,accel_full,32.1667,0.76094233
2nd_test,accel_full,32.3333,0.76082093
2nd_test,accel_full,32.5,0.75087436
2nd_test,accel_full,32.6667,0.74742415
2nd_test,accel_full,32.8333,0.73558046
2nd_test,accel_full,33.0,0.75002036
2nd_test,accel_full,33.1667,0.75196775
2nd_test,accel_full,33.3333,0.77024717
2nd_test,accel_full,33.5,0.7540211
2nd_test,accel_full,33.6667,0.75177311
2nd_test,accel_full,33.8333,0.75861102
2nd_test,accel_full,34.0,0.74320783
2nd_test,accel_full,34.1667,0.74297758
2nd_test,accel_full,34.3333,0.74302121
2nd_test,accel_full,34.5,0.75519235
2nd_test,accel_full,34.6667,0.75006473
2nd_test,accel_full,34.8333,0.75109506
2nd_test,accel_full,35.0,0.74938362
2nd_test,accel_full,35.1667,0.76088999
2nd_test,accel_full,35.3333,0.75717279
2nd_test,accel_full,35.5,0.75202162
2nd_test,accel_full,35.6667,0.77212226
2nd_test,accel_full,35.8333,0.75731055
2nd_test,accel_full,36.0,0.75506598
2nd_test,accel_full,36.1667,0.75794142
2nd_test,accel_full,36.3333,0.76071426
2nd_test,accel_full,36.5,0.76881713
2nd_test,accel_full,36.6667,0.75954361
2nd_test,accel_full,36.8333,0.7542053
2nd_test,accel_full,37.0,0.7457953
2nd_test,accel_full,37.1667,0.75821586
2nd_test,accel_full,37.3333,0.75752596
2nd_test,accel_full,37.5,0.75502578
2nd_test,accel_full,37.6667,0.74880294
2nd_test,accel_full,37.8333,0.74688029
2nd_test,accel_full,38.0,0.76638729
2nd_test,accel_full,38.1667,0.7561468
2nd_test,accel_full,38.3333,0.7569357
2nd_test,accel_full,38.5,0.76314241
2nd_test,accel_full,38.6667,0.74457687
2nd_test,accel_full,38.8333,0.76289436
2nd_test,accel_full,39.0,0.74892499
2nd_test,accel_full,39.1667,0.76435001
2nd_test,accel_full,39.3333,0.76525883
2nd_test,accel_full,39.5,0.7680701
2nd_test,accel_full,39.6667,0.75916132
2nd_test,accel_full,39.8333,0.75579396
2nd_test,accel_full,40.0,0.76007019
2nd_test,accel_full,40.1667,0.74768175
2nd_test,accel_full,40.3333,0.75300839
2nd_test,accel_full,40.5,0.74147138
2nd_test,accel_full,40.6667,0.75446561
2nd_test,accel_full,40.8333,0.76493
2nd_test,accel_full,41.0,0.74702887
2nd_test,accel_full,41.1667,0.75694443
2nd_test,accel_full,41.3333,0.74316702
2nd_test,accel_full,41.5,0.74714898
2nd_test,accel_full,41.6667,0.74132929
2nd_test,accel_full,41.8333,0.74337704
2nd_test,accel_full,42.0,0.76908008
2nd_test,accel_full,42.1667,0.74802414
2nd_test,accel_full,42.3333,0.74957046
2nd_test,accel_full,42.5,0.7550061
2nd_test,accel_full,42.6667,0.75083461
2nd_test,accel_full,42.8333,0.75523797
2nd_test,accel_full,43.0,0.74032182
2nd_test,accel_full,43.1667,0.76786117
2nd_test,accel_full,43.3333,0.75710784
2nd_test,accel_full,43.5,0.75870393
2nd_test,accel_full,43.6667,0.75617768
2nd_test,accel_full,43.8333,0.7412102
2nd_test,accel_full,44.0,0.74424235
2nd_test,accel_full,44.1667,0.77114191
2nd_test,accel_full,44.3333,0.76278882
2nd_test,accel_full,44.5,0.76129181
2nd_test,accel_full,44.6667,0.76137292
2nd_test,accel_full,44.8333,0.74326391
2nd_test,accel_full,45.0,0.74762074
2nd_test,accel_full,45.1667,0.75764242
2nd_test,accel_full,45.3333,0.7710682
2nd_test,accel_full,45.5,0.74672984
2nd_test,accel_full,45.6667,0.76638673
2nd_test,accel_full,45.8333,0.76784914
2nd_test,accel_full,46.0,0.77084138
2nd_test,accel_full,46.1667,0.75529955
2nd_test,accel_full,46.3333,0.77260957
2nd_test,accel_full,46.5,0.74636766
2nd_test,accel_full,46.6667,0.76035063
2nd_test,accel_full,46.8333,0.75465105
2nd_test,accel_full,47.0,0.75260927
2nd_test,accel_full,47.1667,0.76224137
2nd_test,accel_full,47.3333,0.76315112
2nd_test,accel_full,47.5,0.74591005
2nd_test,accel_full,47.6667,0.76258233
2nd_test,accel_full,47.8333,0.74622758
2nd_test,accel_full,48.0,0.7550233
2nd_test,accel_full,48.1667,0.74629887
2nd_test,accel_full,48.3333,0.75706727
2nd_test,accel_full,48.5,0.75487036
2nd_test,accel_full,48.6667,0.76152481
2nd_test,accel_full,48.8333,0.75498104
2nd_test,accel_full,49.0,0.76468714
2nd_test,accel_full,49.1667,0.74947325
2nd_test,accel_full,49.3333,0.77098627
2nd_test,accel_full,49.5,0.7630046
2nd_test,accel_full,49.6667,0.75695213
2nd_test,accel_full,49.8333,0.76479391
2nd_test,accel_full,50.0,0.77757011
2nd_test,accel_full,50.1667,0.73681917
