test,condition,featureset,hours,score,threshold
2nd_test,accel_full,dimensionless,0.0,6.311254,5.15909
2nd_test,accel_full,dimensionless,0.1667,4.998262,5.15909
2nd_test,accel_full,dimensionless,0.3333,4.219186,5.15909
2nd_test,accel_full,dimensionless,0.5,6.314592,5.15909
2nd_test,accel_full,dimensionless,0.6667,4.562576,5.15909
2nd_test,accel_full,dimensionless,0.8333,2.142963,5.15909
2nd_test,accel_full,dimensionless,1.0,3.200564,5.15909
2nd_test,accel_full,dimensionless,1.1667,2.220467,5.15909
2nd_test,accel_full,dimensionless,1.3333,2.83164,5.15909
2nd_test,accel_full,dimensionless,1.5,4.362893,5.15909
2nd_test,accel_full,dimensionless,1.6667,2.766266,5.15909
2nd_test,accel_full,dimensionless,1.8333,3.492714,5.15909
2nd_test,accel_full,dimensionless,2.0,3.465674,5.15909
2nd_test,accel_full,dimensionless,2.1667,4.220825,5.15909
2nd_test,accel_full,dimensionless,2.3333,3.177673,5.15909
2nd_test,accel_full,dimensionless,2.5,5.09845,5.15909
2nd_test,accel_full,dimensionless,2.6667,2.202112,5.15909
2nd_test,accel_full,dimensionless,2.8333,2.641095,5.15909
2nd_test,accel_full,dimensionless,3.0,3.421439,5.15909
2nd_test,accel_full,dimensionless,3.1667,2.747253,5.15909
2nd_test,accel_full,dimensionless,3.3333,2.936492,5.15909
2nd_test,accel_full,dimensionless,3.5,3.350901,5.15909
2nd_test,accel_full,dimensionless,3.6667,2.130237,5.15909
2nd_test,accel_full,dimensionless,3.8333,2.400589,5.15909
2nd_test,accel_full,dimensionless,4.0,2.235946,5.15909
2nd_test,accel_full,dimensionless,4.1667,2.768988,5.15909
2nd_test,accel_full,dimensionless,4.3333,2.258697,5.15909
2nd_test,accel_full,dimensionless,4.5,3.328808,5.15909
2nd_test,accel_full,dimensionless,4.6667,2.732813,5.15909
2nd_test,accel_full,dimensionless,4.8333,3.581645,5.15909
2nd_test,accel_full,dimensionless,5.0,3.001528,5.15909
2nd_test,accel_full,dimensionless,5.1667,2.770571,5.15909
2nd_test,accel_full,dimensionless,5.3333,1.526661,5.15909
2nd_test,accel_full,dimensionless,5.5,3.331832,5.15909
2nd_test,accel_full,dimensionless,5.6667,3.381819,5.15909
2nd_test,accel_full,dimensionless,5.8333,1.984074,5.15909
2nd_test,accel_full,dimensionless,6.0,2.413025,5.15909
2nd_test,accel_full,dimensionless,6.1667,3.703195,5.15909
2nd_test,accel_full,dimensionless,6.3333,3.22455,5.15909
2nd_test,accel_full,dimensionless,6.5,4.000454,5.15909
2nd_test,accel_full,dimensionless,6.6667,1.230704,5.15909
2nd_test,accel_full,dimensionless,6.8333,2.669754,5.15909
2nd_test,accel_full,dimensionless,7.0,3.091526,5.15909
2nd_test,accel_full,dimensionless,7.1667,2.644607,5.15909
2nd_test,accel_full,dimensionless,7.3333,2.932308,5.15909
2nd_test,accel_full,dimensionless,7.5,2.705372,5.15909
2nd_test,accel_full,dimensionless,7.6667,2.867141,5.15909
2nd_test,accel_full,dimensionless,7.8333,3.324618,5.15909
2nd_test,accel_full,dimensionless,8.0,2.967981,5.15909
2nd_test,accel_full,dimensionless,8.1667,1.809728,5.15909
2nd_test,accel_full,dimensionless,8.3333,2.96824,5.15909
2nd_test,accel_full,dimensionless,8.5,2.562982,5.15909
2nd_test,accel_full,dimensionless,8.6667,4.714749,5.15909
2nd_test,accel_full,dimensionless,8.8333,1.264029,5.15909
2nd_test,accel_full,dimensionless,9.0,2.36884,5.15909
2nd_test,accel_full,dimensionless,9.1667,3.144694,5.15909
2nd_test,accel_full,dimensionless,9.3333,2.638885,5.15909
2nd_test,accel_full,dimensionless,9.5,3.002068,5.15909
2nd_test,accel_full,dimensionless,9.6667,3.306641,5.15909
2nd_test,accel_full,dimensionless,9.8333,2.342406,5.15909
2nd_test,accel_full,dimensionless,10.0,1.995215,5.15909
2nd_test,accel_full,dimensionless,10.1667,2.209986,5.15909
2nd_test,accel_full,dimensionless,10.3333,1.958194,5.15909
2nd_test,accel_full,dimensionless,10.5,3.00585,5.15909
2nd_test,accel_full,dimensionless,10.6667,1.380569,5.15909
2nd_test,accel_full,dimensionless,10.8333,3.126817,5.15909
2nd_test,accel_full,dimensionless,11.0,3.036721,5.15909
2nd_test,accel_full,dimensionless,11.1667,2.829311,5.15909
2nd_test,accel_full,dimensionless,11.3333,1.388362,5.15909
2nd_test,accel_full,dimensionless,11.5,3.265483,5.15909
2nd_test,accel_full,dimensionless,11.6667,2.88544,5.15909
2nd_test,accel_full,dimensionless,11.8333,2.582111,5.15909
2nd_test,accel_full,dimensionless,12.0,2.258346,5.15909
2nd_test,accel_full,dimensionless,12.1667,2.06565,5.15909
2nd_test,accel_full,dimensionless,12.3333,2.168516,5.15909
2nd_test,accel_full,dimensionless,12.5,1.559552,5.15909
2nd_test,accel_full,dimensionless,12.6667,3.322397,5.15909
2nd_test,accel_full,dimensionless,12.8333,2.768704,5.15909
2nd_test,accel_full,dimensionless,13.0,3.224464,5.15909
2nd_test,accel_full,dimensionless,13.1667,1.911569,5.15909
2nd_test,accel_full,dimensionless,13.3333,2.562724,5.15909
2nd_test,accel_full,dimensionless,13.5,2.14554,5.15909
2nd_test,accel_full,dimensionless,13.6667,2.146604,5.15909
2nd_test,accel_full,dimensionless,13.8333,2.00314,5.15909
