test,condition,domain,fs_hz,mode,featureset,n_snapshots,train_until_hours,failure_hours,alarm_hours,lead_time_hours,lead_time_pct_of_life,threshold,score_healthy_mean,score_final_mean
2nd_test,accel_full,acceleration,48000.0,ideal,dimensionless,982,32.5,163.5,89.5,74.0,45.3,5.1591,2.888,17.7236
2nd_test,accel_full,acceleration,48000.0,ideal,dimensionless_plus_amplitude,982,32.5,163.5,88.83,74.67,45.7,5.4537,3.0514,70.6412
2nd_test,disp_full_48kHz,displacement,48000.0,ideal,dimensionless,982,32.5,163.5,,,,6.3151,2.2316,2.6189
2nd_test,disp_full_48kHz,displacement,48000.0,ideal,dimensionless_plus_amplitude,982,32.5,163.5,161.33,2.17,1.3,6.1073,2.4458,4.1834
2nd_test,disp_240Hz_ideal,displacement,240.0,ideal,dimensionless,982,32.5,163.5,,,,6.534,2.2349,2.7779
2nd_test,disp_240Hz_ideal,displacement,240.0,ideal,dimensionless_plus_amplitude,982,32.5,163.5,161.33,2.17,1.3,6.2612,2.4584,4.1144
2nd_test,disp_240Hz_boxcar,displacement,240.0,boxcar,dimensionless,982,32.5,163.5,,,,6.5836,2.2386,2.7568
2nd_test,disp_240Hz_boxcar,displacement,240.0,boxcar,dimensionless_plus_amplitude,982,32.5,163.5,161.33,2.17,1.3,6.252,2.4548,4.0999
2nd_test,disp_240Hz_naive,displacement,240.0,naive,dimensionless,982,32.5,163.5,,,,6.0972,2.2439,2.7443
2nd_test,disp_240Hz_naive,displacement,240.0,naive,dimensionless_plus_amplitude,982,32.5,163.5,161.33,2.17,1.3,5.8511,2.4608,4.0973
3rd_test,accel_full,acceleration,48000.0,ideal,dimensionless,3162,210.25,1073.09,1023.42,49.67,4.6,5.4853,2.8694,7.9603
3rd_test,accel_full,acceleration,48000.0,ideal,dimensionless_plus_amplitude,3162,210.25,1073.09,1014.09,59.0,5.5,5.7962,3.0375,19.2636
3rd_test,disp_full_48kHz,displacement,48000.0,ideal,dimensionless,3162,210.25,1073.09,,,,6.0289,2.4396,2.6317
3rd_test,disp_full_48kHz,displacement,48000.0,ideal,dimensionless_plus_amplitude,3162,210.25,1073.09,1070.09,3.0,0.3,5.9891,2.6524,3.5159
3rd_test,disp_240Hz_ideal,displacement,240.0,ideal,dimensionless,3162,210.25,1073.09,,,,5.871,2.2601,2.4886
3rd_test,disp_240Hz_ideal,displacement,240.0,ideal,dimensionless_plus_amplitude,3162,210.25,1073.09,1064.75,8.33,0.8,5.4114,2.4878,3.3587
3rd_test,disp_240Hz_boxcar,displacement,240.0,boxcar,dimensionless,3162,210.25,1073.09,,,,5.8875,2.2602,2.4765
3rd_test,disp_240Hz_boxcar,displacement,240.0,boxcar,dimensionless_plus_amplitude,3162,210.25,1073.09,1068.09,5.0,0.5,5.4167,2.488,3.3502
3rd_test,disp_240Hz_naive,displacement,240.0,naive,dimensionless,3162,210.25,1073.09,,,,5.9365,2.2588,2.4683
3rd_test,disp_240Hz_naive,displacement,240.0,naive,dimensionless_plus_amplitude,3162,210.25,1073.09,1068.42,4.67,0.4,5.5047,2.4867,3.3325
